km,From:,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),IC (HSR),HSR,HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),IC (HSR),HSR,HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,IC (HSR),IC (HSR),HSR,IC (HSR)
,,310,508,,312,806,312,510,,752,702,908,314,,808,314,512,,754,910,316,,810,316,514,,756,704,912,318,,812,318,516,,758,914,320,,814,320,518,,760,706,916,322,,816,322,520,,762,918,324,,818,324,522,,764,708,920,326,,820,326,524,,766,922,328,,822,328,526,,430,,,924,330,,430,824,330,528,,926,826,434,,,928,434,334,532,,830,438,,,932,438,338,536,,834,442,,,936,442,342,540,,838,446,,,940,446,346,544,,842,450,,,944,450,350,548,452,,352,846,352,550,454,,,948,354,454,848,354,552,456,,950,356,456,850,356,554,458,,,952,358,458,852,358,556,460,,954,360,460,854,360,558,462,,,956,362,462,856,362,560,464,,958,364,464,858,364,562,466,,,960,366,466,860,366,564,468,,962,368,468,862,368,566,470,,,964,370,470,864,370,568,,966,866,474,,,968,474,374,572,,870,,,,,,,,,,,,,,,,,,,,,,
0,GILROY (HSR) $,  ,  ,5:03  ,  ,5:31  ,  ,  ,5:33  ,5:43  ,5:49  ,5:55  ,  ,  ,6:01  ,  ,  ,6:03  ,6:13  ,6:25  ,  ,  ,6:31  ,  ,  ,6:33  ,6:43  ,6:49  ,6:55  ,  ,  ,7:01  ,  ,  ,7:03  ,7:13  ,7:25  ,  ,  ,7:31  ,  ,  ,7:33  ,7:43  ,7:49  ,7:55  ,  ,  ,8:01  ,  ,  ,8:03  ,8:13  ,8:25  ,  ,  ,8:31  ,  ,  ,8:33  ,8:43  ,8:49  ,8:55  ,  ,  ,9:01  ,  ,  ,9:03  ,9:13  ,9:25  ,  ,  ,9:31  ,  ,  ,9:33  ,  ,9:43  ,9:49  ,9:55  ,  ,  ,  ,10:01  ,  ,  ,10:13  ,10:25  ,10:31  ,  ,10:43  ,10:49  ,10:55  ,  ,  ,  ,11:13  ,11:31  ,  ,11:43  ,11:49  ,11:55  ,  ,  ,  ,12:13  ,12:31  ,  ,12:43  ,12:49  ,12:55  ,  ,  ,  ,13:13  ,13:31  ,  ,13:43  ,13:49  ,13:55  ,  ,  ,  ,14:13  ,14:31  ,  ,14:43  ,14:49  ,14:55  ,  ,  ,  ,  ,15:13  ,  ,15:31  ,  ,  ,  ,15:43  ,15:49  ,15:55  ,  ,  ,16:01  ,  ,  ,  ,16:13  ,16:25  ,  ,  ,16:31  ,  ,  ,  ,16:43  ,16:49  ,16:55  ,  ,  ,17:01  ,  ,  ,  ,17:13  ,17:25  ,  ,  ,17:31  ,  ,  ,  ,17:43  ,17:49  ,17:55  ,  ,  ,18:01  ,  ,  ,  ,18:13  ,18:25  ,  ,  ,18:31  ,  ,  ,  ,18:43  ,18:49  ,18:55  ,  ,  ,19:01  ,  ,  ,  ,19:13  ,19:25  ,  ,  ,19:31  ,  ,  ,  ,19:43  ,19:49  ,19:55  ,  ,  ,20:01  ,  ,  ,20:13  ,20:25  ,20:31  ,  ,20:43  ,20:49  ,20:55  ,  ,  ,  ,21:13  ,21:31  ,  ,21:43  ,21:49  ,21:55  ,  ,  ,  ,22:13  ,22:31  ,  ,22:43  ,22:49  ,22:55  ,  ,  ,  ,23:13  ,23:31  ,23:43  ,23:49  ,23:55  ,0:13  
10,SAN MARTIIN (HSR) $,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,|      ,|      
16,MORGAN HILL (HSR) $,  ,  ,5:13  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,6:13  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,7:13  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,8:13  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,9:13  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,|      ,|      
35,BLOSSOM HILL (HSR) $,  ,  ,|      ,  ,|      ,  ,  ,5:52  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,6:52  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,7:52  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,8:52  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,9:52  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,|      ,|      
40,CAPITOL (HSR) $,  ,  ,5:27  ,  ,|      ,  ,  ,5:57  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,6:27  ,|      ,|      ,  ,  ,|      ,  ,  ,6:57  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,7:27  ,|      ,|      ,  ,  ,|      ,  ,  ,7:57  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,8:27  ,|      ,|      ,  ,  ,|      ,  ,  ,8:57  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,9:27  ,|      ,|      ,  ,  ,|      ,  ,  ,9:57  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,|      ,|      
45,TAMIEN (HSR) $,5:19  ,5:27  ,5:31  ,5:49  ,|      ,  ,5:57  ,6:01  ,|      ,|      ,|      ,6:19  ,  ,|      ,  ,6:27  ,6:31  ,|      ,|      ,6:49  ,  ,|      ,  ,6:57  ,7:01  ,|      ,|      ,|      ,7:19  ,  ,|      ,  ,7:27  ,7:31  ,|      ,|      ,7:49  ,  ,|      ,  ,7:57  ,8:01  ,|      ,|      ,|      ,8:19  ,  ,|      ,  ,8:27  ,8:31  ,|      ,|      ,8:49  ,  ,|      ,  ,8:57  ,9:01  ,|      ,|      ,|      ,9:19  ,  ,|      ,  ,9:27  ,9:31  ,|      ,|      ,9:49  ,  ,|      ,  ,9:57  ,10:01  ,10:01  ,|      ,|      ,|      ,10:19  ,  ,  ,|      ,  ,10:27  ,|      ,|      ,|      ,11:01  ,|      ,|      ,|      ,  ,11:19  ,11:27  ,|      ,|      ,12:01  ,|      ,|      ,|      ,  ,12:19  ,12:27  ,|      ,|      ,13:01  ,|      ,|      ,|      ,  ,13:19  ,13:27  ,|      ,|      ,14:01  ,|      ,|      ,|      ,  ,14:19  ,14:27  ,|      ,|      ,15:01  ,|      ,|      ,|      ,  ,15:19  ,15:27  ,15:31  ,|      ,15:49  ,|      ,  ,15:57  ,16:01  ,|      ,|      ,|      ,16:19  ,  ,|      ,  ,16:27  ,16:31  ,|      ,|      ,16:49  ,  ,|      ,  ,16:57  ,17:01  ,|      ,|      ,|      ,17:19  ,  ,|      ,  ,17:27  ,17:31  ,|      ,|      ,17:49  ,  ,|      ,  ,17:57  ,18:01  ,|      ,|      ,|      ,18:19  ,  ,|      ,  ,18:27  ,18:31  ,|      ,|      ,18:49  ,  ,|      ,  ,18:57  ,19:01  ,|      ,|      ,|      ,19:19  ,  ,|      ,  ,19:27  ,19:31  ,|      ,|      ,19:49  ,  ,|      ,  ,19:57  ,20:01  ,|      ,|      ,|      ,20:19  ,  ,|      ,  ,20:27  ,|      ,|      ,|      ,21:01  ,|      ,|      ,|      ,  ,21:19  ,21:27  ,|      ,|      ,22:01  ,|      ,|      ,|      ,  ,22:19  ,22:27  ,|      ,|      ,23:01  ,|      ,|      ,|      ,  ,23:19  ,23:27  ,|      ,|      ,|      ,|      ,|      ,|      
48,SAN JOSE,5:22  ,5:30  ,5:34  ,5:52  ,5:55  ,  ,6:00  ,6:04  ,6:06  ,6:12  ,6:18  ,6:22  ,  ,6:25  ,  ,6:30  ,6:34  ,6:36  ,6:48  ,6:52  ,  ,6:55  ,  ,7:00  ,7:04  ,7:06  ,7:12  ,7:18  ,7:22  ,  ,7:25  ,  ,7:30  ,7:34  ,7:36  ,7:48  ,7:52  ,  ,7:55  ,  ,8:00  ,8:04  ,8:06  ,8:12  ,8:18  ,8:22  ,  ,8:25  ,  ,8:30  ,8:34  ,8:36  ,8:48  ,8:52  ,  ,8:55  ,  ,9:00  ,9:04  ,9:06  ,9:12  ,9:18  ,9:22  ,  ,9:25  ,  ,9:30  ,9:34  ,9:36  ,9:48  ,9:52  ,  ,9:55  ,  ,10:00  ,10:04  ,10:04  ,10:06  ,10:12  ,10:18  ,10:22  ,  ,  ,10:25  ,  ,10:30  ,10:36  ,10:48  ,10:55  ,11:04  ,11:06  ,11:12  ,11:18  ,  ,11:22  ,11:30  ,11:36  ,11:55  ,12:04  ,12:06  ,12:12  ,12:18  ,  ,12:22  ,12:30  ,12:36  ,12:55  ,13:04  ,13:06  ,13:12  ,13:18  ,  ,13:22  ,13:30  ,13:36  ,13:55  ,14:04  ,14:06  ,14:12  ,14:18  ,  ,14:22  ,14:30  ,14:36  ,14:55  ,15:04  ,15:06  ,15:12  ,15:18  ,  ,15:22  ,15:30  ,15:34  ,15:36  ,15:52  ,15:55  ,  ,16:00  ,16:04  ,16:06  ,16:12  ,16:18  ,16:22  ,  ,16:25  ,  ,16:30  ,16:34  ,16:36  ,16:48  ,16:52  ,  ,16:55  ,  ,17:00  ,17:04  ,17:06  ,17:12  ,17:18  ,17:22  ,  ,17:25  ,  ,17:30  ,17:34  ,17:36  ,17:48  ,17:52  ,  ,17:55  ,  ,18:00  ,18:04  ,18:06  ,18:12  ,18:18  ,18:22  ,  ,18:25  ,  ,18:30  ,18:34  ,18:36  ,18:48  ,18:52  ,  ,18:55  ,  ,19:00  ,19:04  ,19:06  ,19:12  ,19:18  ,19:22  ,  ,19:25  ,  ,19:30  ,19:34  ,19:36  ,19:48  ,19:52  ,  ,19:55  ,  ,20:00  ,20:04  ,20:06  ,20:12  ,20:18  ,20:22  ,  ,20:25  ,  ,20:30  ,20:36  ,20:48  ,20:55  ,21:04  ,21:06  ,21:12  ,21:18  ,  ,21:22  ,21:30  ,21:36  ,21:55  ,22:04  ,22:06  ,22:12  ,22:18  ,  ,22:22  ,22:30  ,22:36  ,22:55  ,23:04  ,23:06  ,23:12  ,23:18  ,  ,23:22  ,23:30  ,23:36  ,23:55  ,0:06  ,0:12  ,0:18  ,0:36  
,SAN JOSE,5:24  ,5:32  ,5:36  ,5:54  ,5:57  ,  ,6:02  ,6:06  ,  ,  ,6:20  ,6:24  ,  ,6:27  ,  ,6:32  ,6:36  ,  ,6:50  ,6:54  ,  ,6:57  ,  ,7:02  ,7:06  ,  ,  ,7:20  ,7:24  ,  ,7:27  ,  ,7:32  ,7:36  ,  ,7:50  ,7:54  ,  ,7:57  ,  ,8:02  ,8:06  ,  ,  ,8:20  ,8:24  ,  ,8:27  ,  ,8:32  ,8:36  ,  ,8:50  ,8:54  ,  ,8:57  ,  ,9:02  ,9:06  ,  ,  ,9:20  ,9:24  ,  ,9:27  ,  ,9:32  ,9:36  ,  ,9:50  ,9:54  ,  ,9:57  ,  ,10:02  ,10:06  ,10:06  ,  ,  ,10:20  ,10:24  ,  ,  ,10:27  ,  ,10:32  ,  ,10:50  ,10:57  ,11:06  ,  ,  ,11:20  ,  ,11:24  ,11:32  ,  ,11:57  ,12:06  ,  ,  ,12:20  ,  ,12:24  ,12:32  ,  ,12:57  ,13:06  ,  ,  ,13:20  ,  ,13:24  ,13:32  ,  ,13:57  ,14:06  ,  ,  ,14:20  ,  ,14:24  ,14:32  ,  ,14:57  ,15:06  ,  ,  ,15:20  ,  ,15:24  ,15:32  ,15:36  ,  ,15:54  ,15:57  ,  ,16:02  ,16:06  ,  ,  ,16:20  ,16:24  ,  ,16:27  ,  ,16:32  ,16:36  ,  ,16:50  ,16:54  ,  ,16:57  ,  ,17:02  ,17:06  ,  ,  ,17:20  ,17:24  ,  ,17:27  ,  ,17:32  ,17:36  ,  ,17:50  ,17:54  ,  ,17:57  ,  ,18:02  ,18:06  ,  ,  ,18:20  ,18:24  ,  ,18:27  ,  ,18:32  ,18:36  ,  ,18:50  ,18:54  ,  ,18:57  ,  ,19:02  ,19:06  ,  ,  ,19:20  ,19:24  ,  ,19:27  ,  ,19:32  ,19:36  ,  ,19:50  ,19:54  ,  ,19:57  ,  ,20:02  ,20:06  ,  ,  ,20:20  ,20:24  ,  ,20:27  ,  ,20:32  ,  ,20:50  ,20:57  ,21:06  ,  ,  ,21:20  ,  ,21:24  ,21:32  ,  ,21:57  ,22:06  ,  ,  ,22:20  ,  ,22:24  ,22:32  ,  ,22:57  ,23:06  ,  ,  ,23:20  ,  ,23:24  ,23:32  ,  ,23:57  ,  ,  ,0:20  ,  
50,COLLEGE PARK,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  
