km,From:,HSR,HSR,REG (C-LCL),HSR,HSR,HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP)
,,,,101,,905,703,,101,,,807,,101,705,,,,1,907,,,707,,1,,1,809,,1,501,1,401,103,909,401,1,711,503,103,301,3,811,301,103,713,505,3,403,203,911,403,3,715,507,203,303,5,813,303,203,509,5,405,105,913,405,5,719,511,105,305,7,815,305,105,721,513,7,407,205,915,407,7,723,515,205,307,9,817,307,205,517,9,409,107,917,409,9,,519,107,309,11,819,309,107,,521,11,411,207,919,411,11,,523,207,311,13,821,311,207,525,13,413,109,921,413,13,,527,109,313,15,823,313,109,,529,15,415,209,923,415,15,,531,209,315,17,825,315,209,533,17,,925,,17,317,19,,827,317,,,19,211,,,829,,211,,929,,23,,,831,,,,23,213,,,833,,213,,933,,27,,,835,,,,27,215,,,837,,215,,937,,31,,,839,,,,31,217,,,841,,217,,941,,35,,,843,,,,35,219,,,845,,219,,121,945,,,,121,,39,847,
0,SALESFORCE TRANSIT CENTER (STC) $,  ,  ,5:01  ,  ,5:10  ,  ,  ,  ,5:13  ,5:16  ,5:25  ,  ,  ,  ,  ,  ,5:28  ,5:31  ,5:40  ,  ,  ,  ,  ,  ,5:43  ,5:46  ,5:55  ,  ,  ,  ,  ,5:58  ,6:01  ,6:10  ,  ,  ,  ,  ,  ,6:13  ,6:16  ,6:25  ,  ,  ,  ,  ,  ,6:28  ,6:31  ,6:40  ,  ,  ,  ,  ,  ,6:43  ,6:46  ,6:55  ,  ,  ,  ,  ,6:58  ,7:01  ,7:10  ,  ,  ,  ,  ,  ,7:13  ,7:16  ,7:25  ,  ,  ,  ,  ,  ,7:28  ,7:31  ,7:40  ,  ,  ,  ,  ,  ,7:43  ,7:46  ,7:55  ,  ,  ,  ,  ,7:58  ,8:01  ,8:10  ,  ,  ,  ,  ,  ,8:13  ,8:16  ,8:25  ,  ,  ,  ,  ,  ,8:28  ,8:31  ,8:40  ,  ,  ,  ,  ,  ,8:43  ,8:46  ,8:55  ,  ,  ,  ,  ,8:58  ,9:01  ,9:10  ,  ,  ,  ,  ,  ,9:13  ,9:16  ,9:25  ,  ,  ,  ,  ,  ,9:28  ,9:31  ,9:40  ,  ,  ,  ,  ,  ,9:43  ,9:46  ,9:55  ,  ,  ,  ,  ,9:58  ,10:10  ,  ,  ,10:13  ,10:16  ,  ,10:25  ,  ,  ,10:28  ,  ,10:31  ,10:43  ,  ,10:55  ,  ,  ,10:58  ,11:10  ,11:13  ,11:16  ,  ,  ,11:25  ,  ,  ,11:28  ,  ,11:31  ,11:43  ,  ,11:55  ,  ,  ,11:58  ,12:10  ,12:13  ,12:16  ,  ,  ,12:25  ,  ,  ,12:28  ,  ,12:31  ,12:43  ,  ,12:55  ,  ,  ,12:58  ,13:10  ,13:13  ,13:16  ,  ,  ,13:25  ,  ,  ,13:28  ,  ,13:31  ,13:43  ,  ,13:55  ,  ,  ,13:58  ,14:10  ,14:13  ,14:16  ,  ,  ,14:25  ,  ,  ,14:28  ,  ,14:31  ,14:43  ,  ,14:55  ,  ,  ,14:58  ,15:01  ,15:10  ,  ,  ,  ,  ,15:13  ,15:16  ,15:25  ,  
2,TOWNSEND / 4TH AND KING $,  ,  ,5:06  ,  ,|      ,  ,  ,  ,5:18  ,5:21  ,5:31  ,  ,  ,  ,  ,  ,5:33  ,5:36  ,|      ,  ,  ,  ,  ,  ,5:48  ,5:51  ,6:01  ,  ,  ,  ,  ,6:03  ,6:06  ,|      ,  ,  ,  ,  ,  ,6:18  ,6:21  ,6:31  ,  ,  ,  ,  ,  ,6:33  ,6:36  ,|      ,  ,  ,  ,  ,  ,6:48  ,6:51  ,7:01  ,  ,  ,  ,  ,7:03  ,7:06  ,|      ,  ,  ,  ,  ,  ,7:18  ,7:21  ,7:31  ,  ,  ,  ,  ,  ,7:33  ,7:36  ,|      ,  ,  ,  ,  ,  ,7:48  ,7:51  ,8:01  ,  ,  ,  ,  ,8:03  ,8:06  ,|      ,  ,  ,  ,  ,  ,8:18  ,8:21  ,8:31  ,  ,  ,  ,  ,  ,8:33  ,8:36  ,|      ,  ,  ,  ,  ,  ,8:48  ,8:51  ,9:01  ,  ,  ,  ,  ,9:03  ,9:06  ,|      ,  ,  ,  ,  ,  ,9:18  ,9:21  ,9:31  ,  ,  ,  ,  ,  ,9:33  ,9:36  ,|      ,  ,  ,  ,  ,  ,9:48  ,9:51  ,10:01  ,  ,  ,  ,  ,10:03  ,|      ,  ,  ,10:18  ,10:21  ,  ,10:31  ,  ,  ,10:33  ,  ,10:36  ,10:48  ,  ,11:01  ,  ,  ,11:03  ,|      ,11:18  ,11:21  ,  ,  ,11:31  ,  ,  ,11:33  ,  ,11:36  ,11:48  ,  ,12:01  ,  ,  ,12:03  ,|      ,12:18  ,12:21  ,  ,  ,12:31  ,  ,  ,12:33  ,  ,12:36  ,12:48  ,  ,13:01  ,  ,  ,13:03  ,|      ,13:18  ,13:21  ,  ,  ,13:31  ,  ,  ,13:33  ,  ,13:36  ,13:48  ,  ,14:01  ,  ,  ,14:03  ,|      ,14:18  ,14:21  ,  ,  ,14:31  ,  ,  ,14:33  ,  ,14:36  ,14:48  ,  ,15:01  ,  ,  ,15:03  ,15:06  ,|      ,  ,  ,  ,  ,15:18  ,15:21  ,15:31  ,  
3,CP Common,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  
5,22nd STREET,  ,  ,5:10  ,  ,|      ,  ,5:14  ,  ,5:22  ,5:25  ,|      ,  ,  ,  ,5:29  ,  ,5:37  ,5:40  ,|      ,  ,  ,  ,5:44  ,  ,5:52  ,5:55  ,|      ,  ,  ,5:59  ,  ,6:07  ,6:10  ,|      ,  ,  ,  ,6:14  ,  ,6:22  ,6:25  ,|      ,  ,  ,  ,6:29  ,  ,6:37  ,6:40  ,|      ,  ,  ,  ,6:44  ,  ,6:52  ,6:55  ,|      ,  ,  ,6:59  ,  ,7:07  ,7:10  ,|      ,  ,  ,  ,7:14  ,  ,7:22  ,7:25  ,|      ,  ,  ,  ,7:29  ,  ,7:37  ,7:40  ,|      ,  ,  ,  ,7:44  ,  ,7:52  ,7:55  ,|      ,  ,  ,7:59  ,  ,8:07  ,8:10  ,|      ,  ,  ,  ,8:14  ,  ,8:22  ,8:25  ,|      ,  ,  ,  ,8:29  ,  ,8:37  ,8:40  ,|      ,  ,  ,  ,8:44  ,  ,8:52  ,8:55  ,|      ,  ,  ,8:59  ,  ,9:07  ,9:10  ,|      ,  ,  ,  ,9:14  ,  ,9:22  ,9:25  ,|      ,  ,  ,  ,9:29  ,  ,9:37  ,9:40  ,|      ,  ,  ,  ,9:44  ,  ,9:52  ,9:55  ,|      ,  ,  ,9:59  ,  ,10:07  ,|      ,  ,  ,10:22  ,10:25  ,  ,|      ,  ,  ,10:37  ,  ,10:40  ,10:52  ,  ,|      ,  ,  ,11:07  ,|      ,11:22  ,11:25  ,  ,  ,|      ,  ,  ,11:37  ,  ,11:40  ,11:52  ,  ,|      ,  ,  ,12:07  ,|      ,12:22  ,12:25  ,  ,  ,|      ,  ,  ,12:37  ,  ,12:40  ,12:52  ,  ,|      ,  ,  ,13:07  ,|      ,13:22  ,13:25  ,  ,  ,|      ,  ,  ,13:37  ,  ,13:40  ,13:52  ,  ,|      ,  ,  ,14:07  ,|      ,14:22  ,14:25  ,  ,  ,|      ,  ,  ,14:37  ,  ,14:40  ,14:52  ,  ,|      ,  ,  ,15:07  ,15:10  ,|      ,  ,  ,15:14  ,  ,15:22  ,15:25  ,|      ,  
11,BAYSHORE,  ,  ,5:14  ,  ,|      ,  ,|      ,  ,|      ,5:29  ,|      ,  ,  ,  ,|      ,  ,|      ,5:44  ,|      ,  ,  ,  ,|      ,  ,|      ,5:59  ,|      ,  ,  ,|      ,  ,|      ,6:14  ,|      ,  ,  ,  ,|      ,  ,|      ,6:29  ,|      ,  ,  ,  ,|      ,  ,|      ,6:44  ,|      ,  ,  ,  ,|      ,  ,|      ,6:59  ,|      ,  ,  ,|      ,  ,|      ,7:14  ,|      ,  ,  ,  ,|      ,  ,|      ,7:29  ,|      ,  ,  ,  ,|      ,  ,|      ,7:44  ,|      ,  ,  ,  ,|      ,  ,|      ,7:59  ,|      ,  ,  ,|      ,  ,|      ,8:14  ,|      ,  ,  ,  ,|      ,  ,|      ,8:29  ,|      ,  ,  ,  ,|      ,  ,|      ,8:44  ,|      ,  ,  ,  ,|      ,  ,|      ,8:59  ,|      ,  ,  ,|      ,  ,|      ,9:14  ,|      ,  ,  ,  ,|      ,  ,|      ,9:29  ,|      ,  ,  ,  ,|      ,  ,|      ,9:44  ,|      ,  ,  ,  ,|      ,  ,|      ,9:59  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,10:29  ,  ,|      ,  ,  ,|      ,  ,10:44  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,11:29  ,  ,  ,|      ,  ,  ,|      ,  ,11:44  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,12:29  ,  ,  ,|      ,  ,  ,|      ,  ,12:44  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,13:29  ,  ,  ,|      ,  ,  ,|      ,  ,13:44  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,14:29  ,  ,  ,|      ,  ,  ,|      ,  ,14:44  ,|      ,  ,|      ,  ,  ,|      ,15:14  ,|      ,  ,  ,|      ,  ,|      ,15:29  ,|      ,  
17,SOUTH SAN FRANCISCO ,  ,  ,5:19  ,  ,|      ,  ,|      ,  ,5:30  ,5:34  ,|      ,  ,  ,  ,|      ,  ,5:45  ,5:49  ,|      ,  ,  ,  ,|      ,  ,6:00  ,6:04  ,|      ,  ,  ,|      ,  ,6:15  ,6:19  ,|      ,  ,  ,  ,|      ,  ,6:30  ,6:34  ,|      ,  ,  ,  ,|      ,  ,6:45  ,6:49  ,|      ,  ,  ,  ,|      ,  ,7:00  ,7:04  ,|      ,  ,  ,|      ,  ,7:15  ,7:19  ,|      ,  ,  ,  ,|      ,  ,7:30  ,7:34  ,|      ,  ,  ,  ,|      ,  ,7:45  ,7:49  ,|      ,  ,  ,  ,|      ,  ,8:00  ,8:04  ,|      ,  ,  ,|      ,  ,8:15  ,8:19  ,|      ,  ,  ,  ,|      ,  ,8:30  ,8:34  ,|      ,  ,  ,  ,|      ,  ,8:45  ,8:49  ,|      ,  ,  ,  ,|      ,  ,9:00  ,9:04  ,|      ,  ,  ,|      ,  ,9:15  ,9:19  ,|      ,  ,  ,  ,|      ,  ,9:30  ,9:34  ,|      ,  ,  ,  ,|      ,  ,9:45  ,9:49  ,|      ,  ,  ,  ,|      ,  ,10:00  ,10:04  ,|      ,  ,  ,|      ,  ,10:15  ,|      ,  ,  ,10:30  ,10:34  ,  ,|      ,  ,  ,10:45  ,  ,10:49  ,11:00  ,  ,|      ,  ,  ,11:15  ,|      ,11:30  ,11:34  ,  ,  ,|      ,  ,  ,11:45  ,  ,11:49  ,12:00  ,  ,|      ,  ,  ,12:15  ,|      ,12:30  ,12:34  ,  ,  ,|      ,  ,  ,12:45  ,  ,12:49  ,13:00  ,  ,|      ,  ,  ,13:15  ,|      ,13:30  ,13:34  ,  ,  ,|      ,  ,  ,13:45  ,  ,13:49  ,14:00  ,  ,|      ,  ,  ,14:15  ,|      ,14:30  ,14:34  ,  ,  ,|      ,  ,  ,14:45  ,  ,14:49  ,15:00  ,  ,|      ,  ,  ,15:15  ,15:19  ,|      ,  ,  ,|      ,  ,15:30  ,15:34  ,|      ,  
20,SAN BRUNO,  ,  ,5:22  ,  ,|      ,  ,|      ,  ,|      ,5:37  ,|      ,  ,  ,  ,|      ,  ,|      ,5:52  ,|      ,  ,  ,  ,|      ,  ,|      ,6:07  ,|      ,  ,  ,|      ,  ,|      ,6:22  ,|      ,  ,  ,  ,|      ,  ,|      ,6:37  ,|      ,  ,  ,  ,|      ,  ,|      ,6:52  ,|      ,  ,  ,  ,|      ,  ,|      ,7:07  ,|      ,  ,  ,|      ,  ,|      ,7:22  ,|      ,  ,  ,  ,|      ,  ,|      ,7:37  ,|      ,  ,  ,  ,|      ,  ,|      ,7:52  ,|      ,  ,  ,  ,|      ,  ,|      ,8:07  ,|      ,  ,  ,|      ,  ,|      ,8:22  ,|      ,  ,  ,  ,|      ,  ,|      ,8:37  ,|      ,  ,  ,  ,|      ,  ,|      ,8:52  ,|      ,  ,  ,  ,|      ,  ,|      ,9:07  ,|      ,  ,  ,|      ,  ,|      ,9:22  ,|      ,  ,  ,  ,|      ,  ,|      ,9:37  ,|      ,  ,  ,  ,|      ,  ,|      ,9:52  ,|      ,  ,  ,  ,|      ,  ,|      ,10:07  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,10:37  ,  ,|      ,  ,  ,|      ,  ,10:52  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,11:37  ,  ,  ,|      ,  ,  ,|      ,  ,11:52  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,12:37  ,  ,  ,|      ,  ,  ,|      ,  ,12:52  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,13:37  ,  ,  ,|      ,  ,  ,|      ,  ,13:52  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,14:37  ,  ,  ,|      ,  ,  ,|      ,  ,14:52  ,|      ,  ,|      ,  ,  ,|      ,15:22  ,|      ,  ,  ,|      ,  ,|      ,15:37  ,|      ,  
24,MILLBRAE,  ,  ,5:26  ,  ,5:31  ,  ,|      ,  ,5:35  ,5:41  ,5:47  ,  ,  ,  ,|      ,  ,5:50  ,5:56  ,6:01  ,  ,  ,  ,|      ,  ,6:05  ,6:11  ,6:17  ,  ,  ,|      ,  ,6:20  ,6:26  ,6:31  ,  ,  ,  ,|      ,  ,6:35  ,6:41  ,6:47  ,  ,  ,  ,|      ,  ,6:50  ,6:56  ,7:01  ,  ,  ,  ,|      ,  ,7:05  ,7:11  ,7:17  ,  ,  ,|      ,  ,7:20  ,7:26  ,7:31  ,  ,  ,  ,|      ,  ,7:35  ,7:41  ,7:47  ,  ,  ,  ,|      ,  ,7:50  ,7:56  ,8:01  ,  ,  ,  ,|      ,  ,8:05  ,8:11  ,8:17  ,  ,  ,|      ,  ,8:20  ,8:26  ,8:31  ,  ,  ,  ,|      ,  ,8:35  ,8:41  ,8:47  ,  ,  ,  ,|      ,  ,8:50  ,8:56  ,9:01  ,  ,  ,  ,|      ,  ,9:05  ,9:11  ,9:17  ,  ,  ,|      ,  ,9:20  ,9:26  ,9:31  ,  ,  ,  ,|      ,  ,9:35  ,9:41  ,9:47  ,  ,  ,  ,|      ,  ,9:50  ,9:56  ,10:01  ,  ,  ,  ,|      ,  ,10:05  ,10:11  ,10:17  ,  ,  ,|      ,  ,10:20  ,10:31  ,  ,  ,10:35  ,10:41  ,  ,10:47  ,  ,  ,10:50  ,  ,10:56  ,11:05  ,  ,11:17  ,  ,  ,11:20  ,11:31  ,11:35  ,11:41  ,  ,  ,11:47  ,  ,  ,11:50  ,  ,11:56  ,12:05  ,  ,12:17  ,  ,  ,12:20  ,12:31  ,12:35  ,12:41  ,  ,  ,12:47  ,  ,  ,12:50  ,  ,12:56  ,13:05  ,  ,13:17  ,  ,  ,13:20  ,13:31  ,13:35  ,13:41  ,  ,  ,13:47  ,  ,  ,13:50  ,  ,13:56  ,14:05  ,  ,14:17  ,  ,  ,14:20  ,14:31  ,14:35  ,14:41  ,  ,  ,14:47  ,  ,  ,14:50  ,  ,14:56  ,15:05  ,  ,15:17  ,  ,  ,15:20  ,15:26  ,15:31  ,  ,  ,|      ,  ,15:35  ,15:41  ,15:47  ,  
27,BROADWAY,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,5:44  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,6:14  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,6:44  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,7:14  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,7:44  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,8:14  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,8:44  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,9:14  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,9:44  ,|      ,  ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,10:14  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,10:44  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,11:44  ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,12:44  ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,13:44  ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,14:44  ,  ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,15:44  ,|      ,  
