departure_hour,Scenario,Station_Name,Hourly_Ridership,Riders_per_train,lat,lon
4,Ridership_2017_observed,22nd St,36.5,36.5,37.757576360740146,-122.39241209707016
4,Ridership_2017_observed,4th and King,32.5,32.5,37.77673761681249,-122.39494716886722
4,Ridership_2017_observed,Bayshore,36.5,36.5,37.707716194010786,-122.40181692100869
4,Ridership_2017_observed,Belmont,50.0,50.0,37.52120335901958,-122.27624353516848
4,Ridership_2017_observed,Burlingame,49.0,49.0,37.579784239598354,-122.34406869702896
4,Ridership_2017_observed,California Ave,70.0,70.0,37.428924920324114,-122.14130909428673
4,Ridership_2017_observed,Hayward Park,49.0,49.0,37.5529445877276,-122.30942618742424
4,Ridership_2017_observed,Hillsdale,49.0,49.0,37.54157217114981,-122.30068921820495
4,Ridership_2017_observed,Lawrence,39.5,39.5,37.37054208586365,-121.99678611573393
4,Ridership_2017_observed,Menlo Park,51.5,51.5,37.45481747441266,-122.18234505381756
4,Ridership_2017_observed,Millbrae,49.0,49.0,37.60005813774365,-122.38716357110485
4,Ridership_2017_observed,Mountain View,60.5,60.5,37.39445754646227,-122.07593286878692
4,Ridership_2017_observed,Palo Alto,66.0,66.0,37.44319218110702,-122.16441235036379
4,Ridership_2017_observed,Redwood City,50.0,50.0,37.48575969310709,-122.23136195740514
4,Ridership_2017_observed,San Antonio,64.0,64.0,37.407509282199506,-122.10751724793137
4,Ridership_2017_observed,San Bruno,38.0,38.0,37.630742889729746,-122.41180196248293
4,Ridership_2017_observed,San Carlos,50.0,50.0,37.50812619416385,-122.26029797578131
4,Ridership_2017_observed,San Jose Diridon,27.0,27.0,37.32973433784033,-121.90337965869688
4,Ridership_2017_observed,San Mateo,49.0,49.0,37.5681603459612,-122.32391967532075
4,Ridership_2017_observed,Santa Clara,33.0,33.0,37.353207282614996,-121.93549376712492
4,Ridership_2017_observed,South San Francisco,36.5,36.5,37.65434311314393,-122.40632367452082
4,Ridership_2017_observed,Sunnyvale,54.0,54.0,37.37884425148521,-122.03140710781794
4,Ridership_2017_observed,Tamien,7.0,7.0,37.31274326682811,-121.88475697613043
5,Ridership_2017_observed,22nd St,106.5,35.5,37.757576360740146,-122.39241209707016
5,Ridership_2017_observed,4th and King,98.5,32.833333333333336,37.77673761681249,-122.39494716886722
5,Ridership_2017_observed,Bayshore,109.0,36.333333333333336,37.707716194010786,-122.40181692100869
5,Ridership_2017_observed,Belmont,96.5,32.166666666666664,37.52120335901958,-122.27624353516848
5,Ridership_2017_observed,Burlingame,120.0,40.0,37.579784239598354,-122.34406869702896
5,Ridership_2017_observed,California Ave,70.0,23.333333333333332,37.428924920324114,-122.14130909428673
5,Ridership_2017_observed,Hayward Park,117.0,39.0,37.5529445877276,-122.30942618742424
5,Ridership_2017_observed,Hillsdale,113.5,37.833333333333336,37.54157217114981,-122.30068921820495
5,Ridership_2017_observed,Lawrence,39.5,13.166666666666666,37.37054208586365,-121.99678611573393
5,Ridership_2017_observed,Menlo Park,60.0,20.0,37.45481747441266,-122.18234505381756
5,Ridership_2017_observed,Millbrae,125.5,41.833333333333336,37.60005813774365,-122.38716357110485
5,Ridership_2017_observed,Mountain View,60.5,20.166666666666668,37.39445754646227,-122.07593286878692
