TOD,Scenario,Station_Name,Ridership_Number,lat,lon
am,Ridership_2017_observed,22nd St,303676,37.757576360740146,-122.39241209707016
am,Ridership_2017_observed,4th and King,299367,37.77673761681249,-122.39494716886722
am,Ridership_2017_observed,Atherton,285851,37.46447556254199,-122.19767440578178
am,Ridership_2017_observed,Bayshore,303645,37.707716194010786,-122.40181692100869
am,Ridership_2017_observed,Belmont,308574,37.52120335901958,-122.27624353516848
am,Ridership_2017_observed,Blossom Hill,16430,37.252451211010396,-121.79772696072882
am,Ridership_2017_observed,Broadway,335606,37.58728824070041,-122.36206316363042
am,Ridership_2017_observed,Burlingame,339264,37.579784239598354,-122.34406869702896
am,Ridership_2017_observed,California Ave,312325,37.428924920324114,-122.14130909428673
am,Ridership_2017_observed,Capitol,18135,37.28400149341915,-121.84184124217718
am,Ridership_2017_observed,College Park,150567,37.34287482384451,-121.91566711874347
am,Ridership_2017_observed,Gilroy,5363,37.004510163602646,-121.56675298501878
am,Ridership_2017_observed,Hayward Park,328507,37.5529445877276,-122.30942618742424
am,Ridership_2017_observed,Hillsdale,338396,37.54157217114981,-122.30068921820495
am,Ridership_2017_observed,Lawrence,175429,37.37054208586365,-121.99678611573393
am,Ridership_2017_observed,Menlo Park,295740,37.45481747441266,-122.18234505381756
am,Ridership_2017_observed,Millbrae,344131,37.60005813774365,-122.38716357110485
am,Ridership_2017_observed,Morgan Hill,13113,37.12973319634205,-121.650645664784
am,Ridership_2017_observed,Mountain View,298220,37.39445754646227,-122.07593286878692
am,Ridership_2017_observed,Palo Alto,336598,37.44319218110702,-122.16441235036379
am,Ridership_2017_observed,Redwood City,327825,37.48575969310709,-122.23136195740514
am,Ridership_2017_observed,San Antonio,301754,37.407509282199506,-122.10751724793137
am,Ridership_2017_observed,San Bruno,312759,37.630742889729746,-122.41180196248293
am,Ridership_2017_observed,San Carlos,311581,37.50812619416385,-122.26029797578131
am,Ridership_2017_observed,San Jose Diridon,150536,37.32973433784033,-121.90337965869688
am,Ridership_2017_observed,San Martin,7502,37.08595316953493,-121.61044251655308
am,Ridership_2017_observed,San Mateo,344131,37.5681603459612,-122.32391967532075
am,Ridership_2017_observed,Santa Clara,165168,37.353207282614996,-121.93549376712492
am,Ridership_2017_observed,South San Francisco,309442,37.65434311314393,-122.40632367452082
am,Ridership_2017_observed,Sunnyvale,247473,37.37884425148521,-122.03140710781794
am,Ridership_2017_observed,Tamien,54684,37.31274326682811,-121.88475697613043
am,Ridership_2017_observed,Transbay,0,37.789051867125714,-122.39702424974188
am,Ridership_2040_HSR2,22nd St,786997,37.757576360740146,-122.39241209707016
am,Ridership_2040_HSR2,4th and King,766382,37.77673761681249,-122.39494716886722
am,Ridership_2040_HSR2,Atherton,659928,37.46447556254199,-122.19767440578178
am,Ridership_2040_HSR2,Bayshore,806899,37.707716194010786,-122.40181692100869
am,Ridership_2040_HSR2,Belmont,723013,37.52120335901958,-122.27624353516848
am,Ridership_2040_HSR2,Blossom Hill,31992,37.252451211010396,-121.79772696072882
am,Ridership_2040_HSR2,Broadway,805008,37.58728824070041,-122.36206316363042
am,Ridership_2040_HSR2,Burlingame,803985,37.579784239598354,-122.34406869702896
am,Ridership_2040_HSR2,California Ave,678280,37.428924920324114,-122.14130909428673
am,Ridership_2040_HSR2,Capitol,40548,37.28400149341915,-121.84184124217718
am,Ridership_2040_HSR2,College Park,300545,37.34287482384451,-121.91566711874347
am,Ridership_2040_HSR2,Gilroy,7378,37.004510163602646,-121.56675298501878
am,Ridership_2040_HSR2,Hayward Park,776674,37.5529445877276,-122.30942618742424
am,Ridership_2040_HSR2,Hillsdale,797506,37.54157217114981,-122.30068921820495
am,Ridership_2040_HSR2,Lawrence,420670,37.37054208586365,-121.99678611573393
am,Ridership_2040_HSR2,Menlo Park,658874,37.45481747441266,-122.18234505381756
am,Ridership_2040_HSR2,Millbrae,858855,37.60005813774365,-122.38716357110485
am,Ridership_2040_HSR2,Morgan Hill,18631,37.12973319634205,-121.650645664784
am,Ridership_2040_HSR2,Mountain View,668608,37.39445754646227,-122.07593286878692
am,Ridership_2040_HSR2,Palo Alto,740156,37.44319218110702,-122.16441235036379
am,Ridership_2040_HSR2,Redwood City,733987,37.48575969310709,-122.23136195740514
am,Ridership_2040_HSR2,San Antonio,644211,37.407509282199506,-122.10751724793137
am,Ridership_2040_HSR2,San Bruno,807488,37.630742889729746,-122.41180196248293
am,Ridership_2040_HSR2,San Carlos,726671,37.50812619416385,-122.26029797578131
am,Ridership_2040_HSR2,San Jose Diridon,304389,37.32973433784033,-121.90337965869688
am,Ridership_2040_HSR2,San Martin,7378,37.08595316953493,-121.61044251655308
am,Ridership_2040_HSR2,San Mateo,805504,37.5681603459612,-122.32391967532075
am,Ridership_2040_HSR2,Santa Clara,346053,37.353207282614996,-121.93549376712492
am,Ridership_2040_HSR2,South San Francisco,813843,37.65434311314393,-122.40632367452082
am,Ridership_2040_HSR2,Sunnyvale,557504,37.37884425148521,-122.03140710781794
am,Ridership_2040_HSR2,Tamien,100440,37.31274326682811,-121.88475697613043
am,Ridership_2040_HSR2,Transbay,440727,37.789051867125714,-122.39702424974188
am,Ridership_2040_high,22nd St,896675,37.757576360740146,-122.39241209707016
am,Ridership_2040_high,4th and King,840844,37.77673761681249,-122.39494716886722
am,Ridership_2040_high,Atherton,802776,37.46447556254199,-122.19767440578178
am,Ridership_2040_high,Bayshore,904704,37.707716194010786,-122.40181692100869
am,Ridership_2040_high,Belmont,861180,37.52120335901958,-122.27624353516848
am,Ridership_2040_high,Blossom Hill,51987,37.252451211010396,-121.79772696072882
am,Ridership_2040_high,Broadway,911865,37.58728824070041,-122.36206316363042
am,Ridership_2040_high,Burlingame,915616,37.579784239598354,-122.34406869702896
am,Ridership_2040_high,California Ave,812541,37.428924920324114,-122.14130909428673
am,Ridership_2040_high,Capitol,71548,37.28400149341915,-121.84184124217718
am,Ridership_2040_high,College Park,365645,37.34287482384451,-121.91566711874347
am,Ridership_2040_high,Gilroy,8091,37.004510163602646,-121.56675298501878
am,Ridership_2040_high,Hayward Park,904704,37.5529445877276,-122.30942618742424
am,Ridership_2040_high,Hillsdale,933658,37.54157217114981,-122.30068921820495
am,Ridership_2040_high,Lawrence,502293,37.37054208586365,-121.99678611573393
am,Ridership_2040_high,Menlo Park,810092,37.45481747441266,-122.18234505381756
am,Ridership_2040_high,Millbrae,955606,37.60005813774365,-122.38716357110485
am,Ridership_2040_high,Morgan Hill,15686,37.12973319634205,-121.650645664784
am,Ridership_2040_high,Mountain View,799149,37.39445754646227,-122.07593286878692
am,Ridership_2040_high,Palo Alto,883934,37.44319218110702,-122.16441235036379
am,Ridership_2040_high,Redwood City,896613,37.48575969310709,-122.23136195740514
am,Ridership_2040_high,San Antonio,768800,37.407509282199506,-122.10751724793137
am,Ridership_2040_high,San Bruno,911028,37.630742889729746,-122.41180196248293
am,Ridership_2040_high,San Carlos,880059,37.50812619416385,-122.26029797578131
am,Ridership_2040_high,San Jose Diridon,372372,37.32973433784033,-121.90337965869688
am,Ridership_2040_high,San Martin,8091,37.08595316953493,-121.61044251655308
am,Ridership_2040_high,San Mateo,925164,37.5681603459612,-122.32391967532075
am,Ridership_2040_high,Santa Clara,422034,37.353207282614996,-121.93549376712492
am,Ridership_2040_high,South San Francisco,930930,37.65434311314393,-122.40632367452082
