TOD,Scenario,Station_Name,Ridership_Number,count_journey_time,per_train,lat,lon
am,Ridership_2017_observed,Bayshore,12,5,2.4,37.707716194010786,-122.40181692100869
am,Ridership_2017_observed,Belmont,2222,15,148.13333333333333,37.52120335901958,-122.27624353516848
am,Ridership_2017_observed,Blossom Hill,448,3,149.33333333333334,37.252451211010396,-121.79772696072882
am,Ridership_2017_observed,Burlingame,1595,14,113.92857142857143,37.579784239598354,-122.34406869702896
am,Ridership_2017_observed,California Ave,4554,15,303.6,37.428924920324114,-122.14130909428673
am,Ridership_2017_observed,Capitol,503,3,167.66666666666666,37.28400149341915,-121.84184124217718
am,Ridership_2017_observed,College Park,2907,14,207.64285714285714,37.34287482384451,-121.91566711874347
am,Ridership_2017_observed,Gilroy,145,3,48.333333333333336,37.004510163602646,-121.56675298501878
am,Ridership_2017_observed,Hayward Park,1901,14,135.78571428571428,37.5529445877276,-122.30942618742424
am,Ridership_2017_observed,Hillsdale,2251,15,150.06666666666666,37.54157217114981,-122.30068921820495
am,Ridership_2017_observed,Lawrence,3426,14,244.71428571428572,37.37054208586365,-121.99678611573393
am,Ridership_2017_observed,Menlo Park,2813,15,187.53333333333333,37.45481747441266,-122.18234505381756
am,Ridership_2017_observed,Millbrae,1487,14,106.21428571428571,37.60005813774365,-122.38716357110485
am,Ridership_2017_observed,Morgan Hill,358,3,119.33333333333333,37.12973319634205,-121.650645664784
am,Ridership_2017_observed,Mountain View,4637,15,309.1333333333333,37.39445754646227,-122.07593286878692
am,Ridership_2017_observed,Palo Alto,4420,15,294.6666666666667,37.44319218110702,-122.16441235036379
am,Ridership_2017_observed,Redwood City,3098,15,206.53333333333333,37.48575969310709,-122.23136195740514
am,Ridership_2017_observed,San Antonio,4547,15,303.1333333333333,37.407509282199506,-122.10751724793137
am,Ridership_2017_observed,San Bruno,380,9,42.22222222222222,37.630742889729746,-122.41180196248293
am,Ridership_2017_observed,San Carlos,2405,15,160.33333333333334,37.50812619416385,-122.26029797578131
am,Ridership_2017_observed,San Jose Diridon,2908,14,207.71428571428572,37.32973433784033,-121.90337965869688
am,Ridership_2017_observed,San Martin,214,3,71.33333333333333,37.08595316953493,-121.61044251655308
am,Ridership_2017_observed,San Mateo,1938,14,138.42857142857142,37.5681603459612,-122.32391967532075
am,Ridership_2017_observed,Santa Clara,3232,14,230.85714285714286,37.353207282614996,-121.93549376712492
am,Ridership_2017_observed,South San Francisco,228,8,28.5,37.65434311314393,-122.40632367452082
am,Ridership_2017_observed,Sunnyvale,4252,14,303.7142857142857,37.37884425148521,-122.03140710781794
am,Ridership_2017_observed,Tamien,1268,7,181.14285714285714,37.31274326682811,-121.88475697613043
am,Ridership_2040_HSR2,22nd St,25387,39,650.9487179487179,37.757576360740146,-122.39241209707016
am,Ridership_2040_HSR2,4th and King,24722,39,633.8974358974359,37.77673761681249,-122.39494716886722
am,Ridership_2040_HSR2,Atherton,21235,39,544.4871794871794,37.46447556254199,-122.19767440578178
am,Ridership_2040_HSR2,Bayshore,26029,39,667.4102564102565,37.707716194010786,-122.40181692100869
am,Ridership_2040_HSR2,Belmont,23270,39,596.6666666666666,37.52120335901958,-122.27624353516848
am,Ridership_2040_HSR2,Blossom Hill,1032,43,24.0,37.252451211010396,-121.79772696072882
am,Ridership_2040_HSR2,Broadway,25915,39,664.4871794871794,37.58728824070041,-122.36206316363042
am,Ridership_2040_HSR2,Burlingame,25882,39,663.6410256410256,37.579784239598354,-122.34406869702896
