TOD,Origin_ID,Origin_Name,Dest_ID,Dest_Name,Scenario,Ridership_Number
ea,1,Transbay,1,Transbay,Ridership_2017_observed,0
ea,1,Transbay,1,Transbay,Ridership_2022_diesel,0
ea,1,Transbay,1,Transbay,Ridership_2022_PCEP,0
ea,1,Transbay,1,Transbay,Ridership_2029_PCEP_noTransbay,0
ea,1,Transbay,1,Transbay,Ridership_2029_PCEP,0
ea,1,Transbay,1,Transbay,Ridership_2029_HSR1,0
ea,1,Transbay,1,Transbay,Ridership_2033_HSR1,0
ea,1,Transbay,1,Transbay,Ridership_2033_HSR2,0
ea,1,Transbay,1,Transbay,Ridership_2040_HSR2,0
ea,1,Transbay,1,Transbay,Ridership_2040_moderate,0
ea,1,Transbay,1,Transbay,Ridership_2040_high,0
ea,2,4th and King,1,Transbay,Ridership_2017_observed,0
ea,2,4th and King,1,Transbay,Ridership_2022_diesel,0
ea,2,4th and King,1,Transbay,Ridership_2022_PCEP,0
ea,2,4th and King,1,Transbay,Ridership_2029_PCEP_noTransbay,0
ea,2,4th and King,1,Transbay,Ridership_2029_PCEP,2
ea,2,4th and King,1,Transbay,Ridership_2029_HSR1,3
ea,2,4th and King,1,Transbay,Ridership_2033_HSR1,3
ea,2,4th and King,1,Transbay,Ridership_2033_HSR2,2
ea,2,4th and King,1,Transbay,Ridership_2040_HSR2,2
ea,2,4th and King,1,Transbay,Ridership_2040_moderate,6
ea,2,4th and King,1,Transbay,Ridership_2040_high,6
ea,4,22nd St,1,Transbay,Ridership_2017_observed,0
ea,4,22nd St,1,Transbay,Ridership_2022_diesel,0
ea,4,22nd St,1,Transbay,Ridership_2022_PCEP,0
ea,4,22nd St,1,Transbay,Ridership_2029_PCEP_noTransbay,0
ea,4,22nd St,1,Transbay,Ridership_2029_PCEP,1
ea,4,22nd St,1,Transbay,Ridership_2029_HSR1,2
ea,4,22nd St,1,Transbay,Ridership_2033_HSR1,3
ea,4,22nd St,1,Transbay,Ridership_2033_HSR2,3
ea,4,22nd St,1,Transbay,Ridership_2040_HSR2,4
ea,4,22nd St,1,Transbay,Ridership_2040_moderate,4
ea,4,22nd St,1,Transbay,Ridership_2040_high,4
ea,7,Bayshore,1,Transbay,Ridership_2017_observed,0
ea,7,Bayshore,1,Transbay,Ridership_2022_diesel,0
ea,7,Bayshore,1,Transbay,Ridership_2022_PCEP,0
ea,7,Bayshore,1,Transbay,Ridership_2029_PCEP_noTransbay,0
ea,7,Bayshore,1,Transbay,Ridership_2029_PCEP,1
ea,7,Bayshore,1,Transbay,Ridership_2029_HSR1,1
ea,7,Bayshore,1,Transbay,Ridership_2033_HSR1,2
ea,7,Bayshore,1,Transbay,Ridership_2033_HSR2,2
ea,7,Bayshore,1,Transbay,Ridership_2040_HSR2,2
ea,7,Bayshore,1,Transbay,Ridership_2040_moderate,2
ea,7,Bayshore,1,Transbay,Ridership_2040_high,2
ea,8,South San Francisco,1,Transbay,Ridership_2017_observed,0
ea,8,South San Francisco,1,Transbay,Ridership_2022_diesel,0
ea,8,South San Francisco,1,Transbay,Ridership_2022_PCEP,0
ea,8,South San Francisco,1,Transbay,Ridership_2029_PCEP_noTransbay,0
ea,8,South San Francisco,1,Transbay,Ridership_2029_PCEP,8
ea,8,South San Francisco,1,Transbay,Ridership_2029_HSR1,6
ea,8,South San Francisco,1,Transbay,Ridership_2033_HSR1,6
ea,8,South San Francisco,1,Transbay,Ridership_2033_HSR2,6
ea,8,South San Francisco,1,Transbay,Ridership_2040_HSR2,7
ea,8,South San Francisco,1,Transbay,Ridership_2040_moderate,15
ea,8,South San Francisco,1,Transbay,Ridership_2040_high,14
ea,9,San Bruno,1,Transbay,Ridership_2017_observed,0
ea,9,San Bruno,1,Transbay,Ridership_2022_diesel,0
ea,9,San Bruno,1,Transbay,Ridership_2022_PCEP,0
ea,9,San Bruno,1,Transbay,Ridership_2029_PCEP_noTransbay,0
ea,9,San Bruno,1,Transbay,Ridership_2029_PCEP,9
ea,9,San Bruno,1,Transbay,Ridership_2029_HSR1,10
ea,9,San Bruno,1,Transbay,Ridership_2033_HSR1,11
ea,9,San Bruno,1,Transbay,Ridership_2033_HSR2,11
ea,9,San Bruno,1,Transbay,Ridership_2040_HSR2,12
ea,9,San Bruno,1,Transbay,Ridership_2040_moderate,12
ea,9,San Bruno,1,Transbay,Ridership_2040_high,10
ea,10,Millbrae,1,Transbay,Ridership_2017_observed,0
ea,10,Millbrae,1,Transbay,Ridership_2022_diesel,0
ea,10,Millbrae,1,Transbay,Ridership_2022_PCEP,0
ea,10,Millbrae,1,Transbay,Ridership_2029_PCEP_noTransbay,0
ea,10,Millbrae,1,Transbay,Ridership_2029_PCEP,5
ea,10,Millbrae,1,Transbay,Ridership_2029_HSR1,6
ea,10,Millbrae,1,Transbay,Ridership_2033_HSR1,6
ea,10,Millbrae,1,Transbay,Ridership_2033_HSR2,6
ea,10,Millbrae,1,Transbay,Ridership_2040_HSR2,7
ea,10,Millbrae,1,Transbay,Ridership_2040_moderate,9
ea,10,Millbrae,1,Transbay,Ridership_2040_high,8
ea,11,Broadway,1,Transbay,Ridership_2017_observed,0
ea,11,Broadway,1,Transbay,Ridership_2022_diesel,0
ea,11,Broadway,1,Transbay,Ridership_2022_PCEP,0
ea,11,Broadway,1,Transbay,Ridership_2029_PCEP_noTransbay,0
ea,11,Broadway,1,Transbay,Ridership_2029_PCEP,6
ea,11,Broadway,1,Transbay,Ridership_2029_HSR1,6
ea,11,Broadway,1,Transbay,Ridership_2033_HSR1,6
ea,11,Broadway,1,Transbay,Ridership_2033_HSR2,6
ea,11,Broadway,1,Transbay,Ridership_2040_HSR2,7
ea,11,Broadway,1,Transbay,Ridership_2040_moderate,7
