departure_hour,Scenario,Station_Name,Ridership_Number,count_journey_time,Hourly_Ridership_uniform,per_train_uniform,Hourly_Ridership_smoothed,per_train_smoothed,lat,lon
4,Ridership_2017_observed,Bayshore,0,1,0.0,0.0,0.0,0.0,37.707716194010786,-122.40181692100869
4,Ridership_2017_observed,Belmont,27,1,13.5,13.5,13.5,13.5,37.52120335901958,-122.27624353516848
4,Ridership_2017_observed,Burlingame,25,1,12.5,12.5,12.5,12.5,37.579784239598354,-122.34406869702896
4,Ridership_2017_observed,California Ave,67,1,33.5,33.5,33.5,33.5,37.428924920324114,-122.14130909428673
4,Ridership_2017_observed,Hayward Park,25,1,12.5,12.5,12.5,12.5,37.5529445877276,-122.30942618742424
4,Ridership_2017_observed,Hillsdale,25,1,12.5,12.5,12.5,12.5,37.54157217114981,-122.30068921820495
4,Ridership_2017_observed,Lawrence,38,1,19.0,19.0,19.0,19.0,37.37054208586365,-121.99678611573393
4,Ridership_2017_observed,Menlo Park,30,1,15.0,15.0,15.0,15.0,37.45481747441266,-122.18234505381756
4,Ridership_2017_observed,Millbrae,25,1,12.5,12.5,12.5,12.5,37.60005813774365,-122.38716357110485
4,Ridership_2017_observed,Mountain View,62,1,31.0,31.0,31.0,31.0,37.39445754646227,-122.07593286878692
4,Ridership_2017_observed,Palo Alto,59,1,29.5,29.5,29.5,29.5,37.44319218110702,-122.16441235036379
4,Ridership_2017_observed,Redwood City,27,1,13.5,13.5,13.5,13.5,37.48575969310709,-122.23136195740514
4,Ridership_2017_observed,San Antonio,65,1,32.5,32.5,32.5,32.5,37.407509282199506,-122.10751724793137
4,Ridership_2017_observed,San Bruno,3,1,1.5,1.5,1.5,1.5,37.630742889729746,-122.41180196248293
4,Ridership_2017_observed,San Carlos,27,1,13.5,13.5,13.5,13.5,37.50812619416385,-122.26029797578131
4,Ridership_2017_observed,San Jose Diridon,13,1,6.5,6.5,6.5,6.5,37.32973433784033,-121.90337965869688
4,Ridership_2017_observed,San Mateo,25,1,12.5,12.5,12.5,12.5,37.5681603459612,-122.32391967532075
4,Ridership_2017_observed,Santa Clara,25,1,12.5,12.5,12.5,12.5,37.353207282614996,-121.93549376712492
4,Ridership_2017_observed,South San Francisco,0,1,0.0,0.0,0.0,0.0,37.65434311314393,-122.40632367452082
4,Ridership_2017_observed,Sunnyvale,63,1,31.5,31.5,31.5,31.5,37.37884425148521,-122.03140710781794
4,Ridership_2017_observed,Tamien,2,1,1.0,1.0,1.0,1.0,37.31274326682811,-121.88475697613043
5,Ridership_2017_observed,Bayshore,5,2,2.5,1.25,2.5,1.25,37.707716194010786,-122.40181692100869
5,Ridership_2017_observed,Belmont,58,3,29.0,9.666666666666666,29.0,9.666666666666666,37.52120335901958,-122.27624353516848
5,Ridership_2017_observed,Burlingame,68,3,34.0,11.333333333333334,34.0,11.333333333333334,37.579784239598354,-122.34406869702896
5,Ridership_2017_observed,California Ave,67,3,33.5,11.166666666666666,33.5,11.166666666666666,37.428924920324114,-122.14130909428673
5,Ridership_2017_observed,Hayward Park,67,3,33.5,11.166666666666666,33.5,11.166666666666666,37.5529445877276,-122.30942618742424
5,Ridership_2017_observed,Hillsdale,64,3,32.0,10.666666666666666,32.0,10.666666666666666,37.54157217114981,-122.30068921820495
5,Ridership_2017_observed,Lawrence,38,3,19.0,6.333333333333333,19.0,6.333333333333333,37.37054208586365,-121.99678611573393
5,Ridership_2017_observed,Menlo Park,33,3,16.5,5.5,16.5,5.5,37.45481747441266,-122.18234505381756
5,Ridership_2017_observed,Millbrae,65,3,32.5,10.833333333333334,32.5,10.833333333333334,37.60005813774365,-122.38716357110485
5,Ridership_2017_observed,Mountain View,62,3,31.0,10.333333333333334,31.0,10.333333333333334,37.39445754646227,-122.07593286878692
5,Ridership_2017_observed,Palo Alto,60,3,30.0,10.0,30.0,10.0,37.44319218110702,-122.16441235036379
5,Ridership_2017_observed,Redwood City,31,3,15.5,5.166666666666667,15.5,5.166666666666667,37.48575969310709,-122.23136195740514
5,Ridership_2017_observed,San Antonio,65,3,32.5,10.833333333333334,32.5,10.833333333333334,37.407509282199506,-122.10751724793137
5,Ridership_2017_observed,San Bruno,20,2,10.0,5.0,10.0,5.0,37.630742889729746,-122.41180196248293
5,Ridership_2017_observed,San Carlos,54,3,27.0,9.0,27.0,9.0,37.50812619416385,-122.26029797578131
5,Ridership_2017_observed,San Jose Diridon,13,3,6.5,2.1666666666666665,6.5,2.1666666666666665,37.32973433784033,-121.90337965869688
5,Ridership_2017_observed,San Mateo,66,3,33.0,11.0,33.0,11.0,37.5681603459612,-122.32391967532075
5,Ridership_2017_observed,Santa Clara,25,3,12.5,4.166666666666667,12.5,4.166666666666667,37.353207282614996,-121.93549376712492
5,Ridership_2017_observed,South San Francisco,13,2,6.5,3.25,6.5,3.25,37.65434311314393,-122.40632367452082
5,Ridership_2017_observed,Sunnyvale,63,3,31.5,10.5,31.5,10.5,37.37884425148521,-122.03140710781794
5,Ridership_2017_observed,Tamien,2,2,1.0,0.5,1.0,0.5,37.31274326682811,-121.88475697613043
5,Ridership_2040_HSR2,22nd St,244,5,122.0,24.4,122.0,24.4,37.757576360740146,-122.39241209707016
5,Ridership_2040_HSR2,4th and King,222,5,111.0,22.2,111.0,22.2,37.77673761681249,-122.39494716886722
5,Ridership_2040_HSR2,Atherton,273,5,136.5,27.3,136.5,27.3,37.46447556254199,-122.19767440578178
5,Ridership_2040_HSR2,Bayshore,249,5,124.5,24.9,124.5,24.9,37.707716194010786,-122.40181692100869
5,Ridership_2040_HSR2,Belmont,312,5,156.0,31.2,156.0,31.2,37.52120335901958,-122.27624353516848
5,Ridership_2040_HSR2,Blossom Hill,0,6,0.0,0.0,0.0,0.0,37.252451211010396,-121.79772696072882
5,Ridership_2040_HSR2,Broadway,291,5,145.5,29.1,145.5,29.1,37.58728824070041,-122.36206316363042
5,Ridership_2040_HSR2,Burlingame,298,5,149.0,29.8,149.0,29.8,37.579784239598354,-122.34406869702896
5,Ridership_2040_HSR2,California Ave,253,5,126.5,25.3,126.5,25.3,37.428924920324114,-122.14130909428673
