departure_hour,Scenario,Station_Name,Hourly_Ridership,Riders_per_train,lat,lon
4,Ridership_2017_observed,22nd St,13.0,13.0,37.757576360740146,-122.39241209707016
4,Ridership_2017_observed,4th and King,9.5,9.5,37.77673761681249,-122.39494716886722
4,Ridership_2017_observed,Bayshore,13.0,13.0,37.707716194010786,-122.40181692100869
4,Ridership_2017_observed,Belmont,13.0,13.0,37.52120335901958,-122.27624353516848
4,Ridership_2017_observed,Burlingame,13.0,13.0,37.579784239598354,-122.34406869702896
4,Ridership_2017_observed,California Ave,2.0,2.0,37.428924920324114,-122.14130909428673
4,Ridership_2017_observed,Hayward Park,13.0,13.0,37.5529445877276,-122.30942618742424
4,Ridership_2017_observed,Hillsdale,13.0,13.0,37.54157217114981,-122.30068921820495
4,Ridership_2017_observed,Lawrence,1.0,1.0,37.37054208586365,-121.99678611573393
4,Ridership_2017_observed,Menlo Park,12.0,12.0,37.45481747441266,-122.18234505381756
4,Ridership_2017_observed,Millbrae,13.0,13.0,37.60005813774365,-122.38716357110485
4,Ridership_2017_observed,Mountain View,1.5,1.5,37.39445754646227,-122.07593286878692
4,Ridership_2017_observed,Palo Alto,12.0,12.0,37.44319218110702,-122.16441235036379
4,Ridership_2017_observed,Redwood City,12.0,12.0,37.48575969310709,-122.23136195740514
4,Ridership_2017_observed,San Antonio,1.5,1.5,37.407509282199506,-122.10751724793137
4,Ridership_2017_observed,San Bruno,13.0,13.0,37.630742889729746,-122.41180196248293
4,Ridership_2017_observed,San Carlos,13.0,13.0,37.50812619416385,-122.26029797578131
4,Ridership_2017_observed,San Jose Diridon,1.0,1.0,37.32973433784033,-121.90337965869688
4,Ridership_2017_observed,San Mateo,13.0,13.0,37.5681603459612,-122.32391967532075
4,Ridership_2017_observed,Santa Clara,1.0,1.0,37.353207282614996,-121.93549376712492
4,Ridership_2017_observed,South San Francisco,13.0,13.0,37.65434311314393,-122.40632367452082
4,Ridership_2017_observed,Sunnyvale,1.0,1.0,37.37884425148521,-122.03140710781794
4,Ridership_2040_moderate,22nd St,2.0,2.0,37.757576360740146,-122.39241209707016
4,Ridership_2040_moderate,4th and King,6.5,6.5,37.77673761681249,-122.39494716886722
4,Ridership_2040_moderate,Atherton,1.0,1.0,37.46447556254199,-122.19767440578178
4,Ridership_2040_moderate,Bayshore,2.0,2.0,37.707716194010786,-122.40181692100869
4,Ridership_2040_moderate,Belmont,1.0,1.0,37.52120335901958,-122.27624353516848
4,Ridership_2040_moderate,Blossom Hill,0.0,0.0,37.252451211010396,-121.79772696072882
4,Ridership_2040_moderate,Broadway,1.0,1.0,37.58728824070041,-122.36206316363042
4,Ridership_2040_moderate,Burlingame,1.0,1.0,37.579784239598354,-122.34406869702896
4,Ridership_2040_moderate,California Ave,1.0,1.0,37.428924920324114,-122.14130909428673
4,Ridership_2040_moderate,Capitol,0.0,0.0,37.28400149341915,-121.84184124217718
4,Ridership_2040_moderate,Gilroy,0.0,0.0,37.004510163602646,-121.56675298501878
4,Ridership_2040_moderate,Hayward Park,1.0,1.0,37.5529445877276,-122.30942618742424
4,Ridership_2040_moderate,Hillsdale,1.0,1.0,37.54157217114981,-122.30068921820495
4,Ridership_2040_moderate,Lawrence,1.0,1.0,37.37054208586365,-121.99678611573393
4,Ridership_2040_moderate,Menlo Park,1.0,1.0,37.45481747441266,-122.18234505381756
4,Ridership_2040_moderate,Millbrae,2.0,2.0,37.60005813774365,-122.38716357110485
4,Ridership_2040_moderate,Morgan Hill,0.0,0.0,37.12973319634205,-121.650645664784
4,Ridership_2040_moderate,Mountain View,1.0,1.0,37.39445754646227,-122.07593286878692
4,Ridership_2040_moderate,Palo Alto,1.0,1.0,37.44319218110702,-122.16441235036379
4,Ridership_2040_moderate,Redwood City,1.0,1.0,37.48575969310709,-122.23136195740514
4,Ridership_2040_moderate,San Antonio,1.0,1.0,37.407509282199506,-122.10751724793137
4,Ridership_2040_moderate,San Bruno,2.0,2.0,37.630742889729746,-122.41180196248293
4,Ridership_2040_moderate,San Carlos,1.0,1.0,37.50812619416385,-122.26029797578131
4,Ridership_2040_moderate,San Jose Diridon,1.0,1.0,37.32973433784033,-121.90337965869688
4,Ridership_2040_moderate,San Mateo,1.0,1.0,37.5681603459612,-122.32391967532075
4,Ridership_2040_moderate,Santa Clara,1.0,1.0,37.353207282614996,-121.93549376712492
4,Ridership_2040_moderate,South San Francisco,2.0,2.0,37.65434311314393,-122.40632367452082
4,Ridership_2040_moderate,Sunnyvale,1.0,1.0,37.37884425148521,-122.03140710781794
4,Ridership_2040_moderate,Tamien,0.0,0.0,37.31274326682811,-121.88475697613043
4,Ridership_2040_moderate,Transbay,6.5,6.5,37.789051867125714,-122.39702424974188
5,Ridership_2017_observed,22nd St,13.0,13.0,37.757576360740146,-122.39241209707016
5,Ridership_2017_observed,4th and King,9.5,9.5,37.77673761681249,-122.39494716886722
5,Ridership_2017_observed,Bayshore,16.0,8.0,37.707716194010786,-122.40181692100869
5,Ridership_2017_observed,Belmont,47.5,23.75,37.52120335901958,-122.27624353516848
5,Ridership_2017_observed,Burlingame,33.0,16.5,37.579784239598354,-122.34406869702896
5,Ridership_2017_observed,California Ave,29.0,14.5,37.428924920324114,-122.14130909428673
5,Ridership_2017_observed,Hayward Park,44.5,22.25,37.5529445877276,-122.30942618742424
5,Ridership_2017_observed,Hillsdale,46.5,23.25,37.54157217114981,-122.30068921820495
5,Ridership_2017_observed,Lawrence,17.0,8.5,37.37054208586365,-121.99678611573393
5,Ridership_2017_observed,Menlo Park,43.5,21.75,37.45481747441266,-122.18234505381756
5,Ridership_2017_observed,Millbrae,21.5,10.75,37.60005813774365,-122.38716357110485
5,Ridership_2017_observed,Mountain View,27.0,13.5,37.39445754646227,-122.07593286878692
5,Ridership_2017_observed,Palo Alto,41.0,20.5,37.44319218110702,-122.16441235036379
5,Ridership_2017_observed,Redwood City,45.0,22.5,37.48575969310709,-122.23136195740514
5,Ridership_2017_observed,San Antonio,28.5,14.25,37.407509282199506,-122.10751724793137
5,Ridership_2017_observed,San Bruno,19.5,9.75,37.630742889729746,-122.41180196248293
5,Ridership_2017_observed,San Carlos,47.5,23.75,37.50812619416385,-122.26029797578131
5,Ridership_2017_observed,San Jose Diridon,12.0,6.0,37.32973433784033,-121.90337965869688
5,Ridership_2017_observed,San Mateo,42.5,21.25,37.5681603459612,-122.32391967532075
5,Ridership_2017_observed,Santa Clara,16.0,8.0,37.353207282614996,-121.93549376712492
5,Ridership_2017_observed,South San Francisco,18.5,9.25,37.65434311314393,-122.40632367452082
5,Ridership_2017_observed,Sunnyvale,20.5,10.25,37.37884425148521,-122.03140710781794
5,Ridership_2017_observed,Tamien,0.0,0.0,37.31274326682811,-121.88475697613043
5,Ridership_2040_HSR2,22nd St,43.0,4.3,37.757576360740146,-122.39241209707016
5,Ridership_2040_HSR2,4th and King,34.0,3.4,37.77673761681249,-122.39494716886722
5,Ridership_2040_HSR2,Atherton,77.0,7.7,37.46447556254199,-122.19767440578178
5,Ridership_2040_HSR2,Bayshore,45.0,4.5,37.707716194010786,-122.40181692100869
5,Ridership_2040_HSR2,Belmont,81.5,8.15,37.52120335901958,-122.27624353516848
5,Ridership_2040_HSR2,Blossom Hill,0.0,0.0,37.252451211010396,-121.79772696072882
5,Ridership_2040_HSR2,Broadway,62.5,6.25,37.58728824070041,-122.36206316363042
5,Ridership_2040_HSR2,Burlingame,66.0,6.6,37.579784239598354,-122.34406869702896
5,Ridership_2040_HSR2,California Ave,46.0,4.6,37.428924920324114,-122.14130909428673
5,Ridership_2040_HSR2,Capitol,0.0,0.0,37.28400149341915,-121.84184124217718
5,Ridership_2040_HSR2,Gilroy,0.0,0.0,37.004510163602646,-121.56675298501878
5,Ridership_2040_HSR2,Hayward Park,76.0,7.6,37.5529445877276,-122.30942618742424
5,Ridership_2040_HSR2,Hillsdale,83.5,8.35,37.54157217114981,-122.30068921820495
5,Ridership_2040_HSR2,Lawrence,22.0,2.2,37.37054208586365,-121.99678611573393
5,Ridership_2040_HSR2,Menlo Park,77.0,7.7,37.45481747441266,-122.18234505381756
5,Ridership_2040_HSR2,Millbrae,61.5,6.15,37.60005813774365,-122.38716357110485
5,Ridership_2040_HSR2,Morgan Hill,0.0,0.0,37.12973319634205,-121.650645664784
5,Ridership_2040_HSR2,Mountain View,40.0,4.0,37.39445754646227,-122.07593286878692
5,Ridership_2040_HSR2,Palo Alto,73.5,7.35,37.44319218110702,-122.16441235036379
