TOD,Scenario,Station_Name,Ridership_Number,lat,lon
am,Ridership_2017_observed,22nd St,160611,37.757576360740146,-122.39241209707016
am,Ridership_2017_observed,4th and King,117800,37.77673761681249,-122.39494716886722
am,Ridership_2017_observed,Atherton,235569,37.46447556254199,-122.19767440578178
am,Ridership_2017_observed,Bayshore,164517,37.707716194010786,-122.40181692100869
am,Ridership_2017_observed,Belmont,254851,37.52120335901958,-122.27624353516848
am,Ridership_2017_observed,Blossom Hill,0,37.252451211010396,-121.79772696072882
am,Ridership_2017_observed,Broadway,214892,37.58728824070041,-122.36206316363042
am,Ridership_2017_observed,Burlingame,227819,37.579784239598354,-122.34406869702896
am,Ridership_2017_observed,California Ave,123659,37.428924920324114,-122.14130909428673
am,Ridership_2017_observed,Capitol,0,37.28400149341915,-121.84184124217718
am,Ridership_2017_observed,College Park,33697,37.34287482384451,-121.91566711874347
am,Ridership_2017_observed,Gilroy,0,37.004510163602646,-121.56675298501878
am,Ridership_2017_observed,Hayward Park,242575,37.5529445877276,-122.30942618742424
am,Ridership_2017_observed,Hillsdale,263593,37.54157217114981,-122.30068921820495
am,Ridership_2017_observed,Lawrence,47430,37.37054208586365,-121.99678611573393
am,Ridership_2017_observed,Menlo Park,241800,37.45481747441266,-122.18234505381756
am,Ridership_2017_observed,Millbrae,217651,37.60005813774365,-122.38716357110485
am,Ridership_2017_observed,Morgan Hill,0,37.12973319634205,-121.650645664784
am,Ridership_2017_observed,Mountain View,108438,37.39445754646227,-122.07593286878692
am,Ridership_2017_observed,Palo Alto,230547,37.44319218110702,-122.16441235036379
am,Ridership_2017_observed,Redwood City,265484,37.48575969310709,-122.23136195740514
am,Ridership_2017_observed,San Antonio,109988,37.407509282199506,-122.10751724793137
am,Ridership_2017_observed,San Bruno,175212,37.630742889729746,-122.41180196248293
am,Ridership_2017_observed,San Carlos,265856,37.50812619416385,-122.26029797578131
am,Ridership_2017_observed,San Jose Diridon,30349,37.32973433784033,-121.90337965869688
