Origin_ID,Origin_Name,Dest_ID,Dest_Name,Ridership_2017_observed,Ridership_2022_diesel,Ridership_2022_PCEP,Ridership_2029_PCEP_noTransbay,Ridership_2029_PCEP,Ridership_2029_HSR1,Ridership_2033_HSR1,Ridership_2033_HSR2,Ridership_2040_HSR2,Ridership_2040_moderate,Ridership_2040_high
1,Transbay,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
2,4th and King,1,Transbay,0,0,0,0,203,568,640,614,740,500,701
4,22nd St,1,Transbay,0,0,0,0,80,86,93,84,97,377,179
7,Bayshore,1,Transbay,0,0,0,0,79,51,57,51,60,42,41
8,South San Francisco,1,Transbay,0,0,0,0,202,159,172,168,187,448,421
9,San Bruno,1,Transbay,0,0,0,0,156,116,124,121,135,199,192
10,Millbrae,1,Transbay,0,0,0,0,482,985,982,982,958,774,690
11,Broadway,1,Transbay,0,0,0,0,159,182,189,189,200,184,178
12,Burlingame,1,Transbay,0,0,0,0,250,216,226,226,240,232,410
13,San Mateo,1,Transbay,0,0,0,0,500,408,440,440,516,337,454
14,Hayward Park,1,Transbay,0,0,0,0,222,181,197,197,225,235,243
15,Hillsdale,1,Transbay,0,0,0,0,585,874,888,888,907,962,659
16,Belmont,1,Transbay,0,0,0,0,242,202,211,211,226,215,208
17,San Carlos,1,Transbay,0,0,0,0,244,242,248,248,258,201,198
18,Redwood City,1,Transbay,0,0,0,0,540,533,565,565,606,666,526
20,Atherton,1,Transbay,0,0,0,0,208,263,274,274,291,257,249
21,Menlo Park,1,Transbay,0,0,0,0,263,145,155,155,178,236,198
22,Palo Alto,1,Transbay,0,0,0,0,961,1049,1072,1072,1079,1097,943
24,California Ave,1,Transbay,0,0,0,0,497,502,526,526,567,660,637
25,San Antonio,1,Transbay,0,0,0,0,591,518,549,549,603,799,762
26,Mountain View,1,Transbay,0,0,0,0,1095,1134,1182,1182,1243,1320,1114
27,Sunnyvale,1,Transbay,0,0,0,0,1340,1368,1433,1433,1525,1702,1395
28,Lawrence,1,Transbay,0,0,0,0,579,695,750,750,874,872,856
30,Santa Clara,1,Transbay,0,0,0,0,486,476,503,503,550,635,610
31,College Park,1,Transbay,0,0,0,0,96,0,0,0,0,0,0
32,San Jose Diridon,1,Transbay,0,0,0,0,901,1049,1086,1069,966,1026,1041
33,Tamien,1,Transbay,0,0,0,0,292,348,385,385,475,562,587
34,Capitol,1,Transbay,0,0,0,0,111,99,104,104,125,198,235
35,Blossom Hill,1,Transbay,0,0,0,0,118,125,133,133,172,275,319
36,Morgan Hill,1,Transbay,0,0,0,0,105,107,113,113,147,84,101
37,San Martin,1,Transbay,0,0,0,0,45,0,0,0,0,0,0
38,Gilroy,1,Transbay,0,0,0,0,96,67,73,70,67,31,53
1,Transbay,2,4th and King,0,0,0,0,103,288,333,305,396,494,510
2,4th and King,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
4,22nd St,2,4th and King,15,60,71,87,84,92,107,107,124,313,436
7,Bayshore,2,4th and King,28,31,50,96,78,62,78,78,105,25,23
8,South San Francisco,2,4th and King,45,170,204,280,273,180,204,204,237,474,455
9,San Bruno,2,4th and King,95,342,231,215,210,89,98,98,120,200,189
10,Millbrae,2,4th and King,265,528,543,764,638,848,862,862,893,778,623
11,Broadway,2,4th and King,0,0,68,91,80,95,104,104,118,94,89
12,Burlingame,2,4th and King,186,295,212,264,224,137,148,148,164,167,178
13,San Mateo,2,4th and King,452,390,410,451,371,307,332,332,389,243,476
14,Hayward Park,2,4th and King,31,104,113,167,171,108,124,124,150,154,197
15,Hillsdale,2,4th and King,921,701,638,735,565,609,629,629,661,792,1045
16,Belmont,2,4th and King,86,123,133,184,165,113,122,122,139,122,46
17,San Carlos,2,4th and King,166,190,167,180,153,153,161,161,174,106,158
18,Redwood City,2,4th and King,740,545,532,651,435,418,454,454,497,562,745
20,Atherton,2,4th and King,0,0,92,115,114,181,194,194,210,165,155
21,Menlo Park,2,4th and King,266,134,179,211,183,75,85,85,105,167,88
22,Palo Alto,2,4th and King,900,883,783,893,692,721,754,754,785,782,1019
24,California Ave,2,4th and King,323,282,239,271,355,353,375,375,415,507,474
25,San Antonio,2,4th and King,204,280,349,438,390,308,338,338,389,614,426
26,Mountain View,2,4th and King,"1,250",1132,1017,1140,835,836,881,881,942,1021,1246
27,Sunnyvale,2,4th and King,"1,489",1279,1193,1280,988,936,998,998,1073,1243,1562
28,Lawrence,2,4th and King,118,273,344,486,447,535,583,583,684,671,771
30,Santa Clara,2,4th and King,145,288,319,406,407,348,377,377,420,510,481
31,College Park,2,4th and King,0,68,26,75,50,0,0,0,0,0,0
32,San Jose Diridon,2,4th and King,"1,437",1541,1469,1006,957,996,1059,1042,987,980,1082
33,Tamien,2,4th and King,413,492,352,343,257,270,301,301,375,436,509
34,Capitol,2,4th and King,0,26,53,151,48,55,60,60,77,152,124
35,Blossom Hill,2,4th and King,17,46,62,143,76,76,84,84,110,195,221
36,Morgan Hill,2,4th and King,37,83,114,133,71,72,77,77,103,53,62
37,San Martin,2,4th and King,0,35,52,60,29,0,0,0,0,0,0
38,Gilroy,2,4th and King,28,76,110,129,71,54,60,57,59,30,44
1,Transbay,4,22nd St,0,0,0,0,10,22,24,16,20,77,67
2,4th and King,4,22nd St,0,3,8,11,14,19,21,21,27,31,73
4,22nd St,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
7,Bayshore,4,22nd St,1,1,1,0,2,0,0,0,0,1,1
8,South San Francisco,4,22nd St,0,3,4,8,10,12,15,15,24,37,72
9,San Bruno,4,22nd St,0,7,0,0,0,13,15,15,22,4,8
10,Millbrae,4,22nd St,0,15,14,23,27,70,78,78,94,63,108
11,Broadway,4,22nd St,0,0,4,7,8,0,0,0,0,0,0
12,Burlingame,4,22nd St,0,9,13,18,21,16,18,18,22,14,1
13,San Mateo,4,22nd St,15,12,15,23,25,56,63,63,81,23,80
14,Hayward Park,4,22nd St,0,7,9,15,18,0,0,0,0,5,33
15,Hillsdale,4,22nd St,12,14,18,27,30,83,90,90,105,63,158
16,Belmont,4,22nd St,0,9,0,0,0,18,19,19,24,2,0
17,San Carlos,4,22nd St,3,9,0,0,0,0,0,0,0,0,24
18,Redwood City,4,22nd St,10,11,17,28,30,47,54,54,69,56,127
20,Atherton,4,22nd St,0,0,6,8,10,28,31,31,36,10,20
21,Menlo Park,4,22nd St,23,7,11,15,17,12,14,14,18,17,6
22,Palo Alto,4,22nd St,17,16,32,43,46,97,103,103,120,83,210
24,California Ave,4,22nd St,11,13,0,0,0,58,63,63,76,61,117
25,San Antonio,4,22nd St,0,14,0,0,0,0,0,0,0,74,76
26,Mountain View,4,22nd St,2,29,39,53,59,121,132,132,160,107,257
27,Sunnyvale,4,22nd St,9,40,57,71,74,93,105,105,132,129,293
28,Lawrence,4,22nd St,19,15,26,40,46,79,89,89,114,80,215
30,Santa Clara,4,22nd St,1,15,0,0,0,59,64,64,79,63,122
31,College Park,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,4,22nd St,15,31,44,72,80,129,141,141,168,145,333
33,Tamien,4,22nd St,1,19,14,20,19,39,45,45,61,51,138
34,Capitol,4,22nd St,0,2,0,0,0,0,0,0,0,19,20
35,Blossom Hill,4,22nd St,0,2,0,0,0,0,0,0,0,24,55
36,Morgan Hill,4,22nd St,0,4,0,0,0,0,0,0,0,4,10
