Origin_ID,Origin_Name,Dest_ID,Dest_Name,Ridership_2017_observed,Ridership_2022_diesel,Ridership_2022_PCEP,Ridership_2029_PCEP_noTransbay,Ridership_2029_PCEP,Ridership_2029_HSR1,Ridership_2033_HSR1,Ridership_2033_HSR2,Ridership_2040_HSR2,Ridership_2040_moderate,Ridership_2040_high
1,Transbay,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
2,4th and King,1,Transbay,0,0,0,0,330,867,978,913,1111,1539,1693
4,22nd St,1,Transbay,0,0,0,0,128,260,289,266,323,853,634
7,Bayshore,1,Transbay,0,0,0,0,113,173,198,184,226,219,209
8,South San Francisco,1,Transbay,0,0,0,0,367,312,346,335,405,1102,1040
9,San Bruno,1,Transbay,0,0,0,0,268,231,249,242,271,311,297
10,Millbrae,1,Transbay,0,0,0,0,720,1282,1297,1297,1309,1202,1099
11,Broadway,1,Transbay,0,0,0,0,239,296,310,310,337,267,251
12,Burlingame,1,Transbay,0,0,0,0,398,359,382,382,421,366,594
13,San Mateo,1,Transbay,0,0,0,0,710,662,710,710,825,492,642
14,Hayward Park,1,Transbay,0,0,0,0,351,309,334,334,379,350,347
15,Hillsdale,1,Transbay,0,0,0,0,865,1287,1328,1328,1401,1571,1200
16,Belmont,1,Transbay,0,0,0,0,368,322,339,339,368,311,308
17,San Carlos,1,Transbay,0,0,0,0,441,395,410,410,441,327,385
18,Redwood City,1,Transbay,0,0,0,0,883,884,935,935,1013,1281,1106
20,Atherton,1,Transbay,0,0,0,0,254,324,338,338,361,307,287
21,Menlo Park,1,Transbay,0,0,0,0,518,360,386,386,464,592,531
22,Palo Alto,1,Transbay,0,0,0,0,2015,2118,2155,2155,2251,3452,3231
24,California Ave,1,Transbay,0,0,0,0,844,829,873,873,951,1125,1084
25,San Antonio,1,Transbay,0,0,0,0,869,783,831,831,919,1214,1163
26,Mountain View,1,Transbay,0,0,0,0,1644,1839,1918,1918,2027,2389,2156
27,Sunnyvale,1,Transbay,0,0,0,0,1626,1754,1846,1846,1984,2375,2047
28,Lawrence,1,Transbay,0,0,0,0,766,988,1059,1059,1215,1252,1203
30,Santa Clara,1,Transbay,0,0,0,0,642,614,654,654,727,921,885
31,College Park,1,Transbay,0,0,0,0,96,0,0,0,0,0,0
32,San Jose Diridon,1,Transbay,0,0,0,0,1276,1387,1448,1407,1129,1401,1491
33,Tamien,1,Transbay,0,0,0,0,394,474,525,525,646,787,834
34,Capitol,1,Transbay,0,0,0,0,111,99,104,104,125,289,347
35,Blossom Hill,1,Transbay,0,0,0,0,118,125,133,133,172,411,474
36,Morgan Hill,1,Transbay,0,0,0,0,105,107,113,113,147,140,166
37,San Martin,1,Transbay,0,0,0,0,45,0,0,0,0,0,0
38,Gilroy,1,Transbay,0,0,0,0,96,67,73,70,67,35,63
1,Transbay,2,4th and King,0,0,0,0,331,929,1044,975,1211,1537,1760
2,4th and King,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
4,22nd St,2,4th and King,26,72,95,122,121,191,223,223,273,653,815
7,Bayshore,2,4th and King,38,38,66,129,110,93,113,113,148,57,55
8,South San Francisco,2,4th and King,102,322,410,632,599,456,517,517,622,1159,1101
9,San Bruno,2,4th and King,184,424,299,378,369,229,250,250,299,355,337
10,Millbrae,2,4th and King,385,785,875,1154,1045,1187,1224,1224,1289,1352,1157
11,Broadway,2,4th and King,0,0,116,203,181,246,270,270,308,192,181
12,Burlingame,2,4th and King,296,417,321,459,394,289,316,316,359,308,278
13,San Mateo,2,4th and King,747,586,653,734,619,556,594,594,672,395,671
14,Hayward Park,2,4th and King,122,156,149,332,319,259,285,285,326,263,334
15,Hillsdale,2,4th and King,"1,190",926,958,1109,903,958,993,993,1055,1282,1637
16,Belmont,2,4th and King,212,188,203,343,311,250,266,266,295,228,77
17,San Carlos,2,4th and King,278,319,310,462,413,395,427,427,484,286,394
18,Redwood City,2,4th and King,"1,148",930,984,1130,863,835,893,893,974,1121,1373
20,Atherton,2,4th and King,0,0,111,174,169,255,271,271,293,222,200
21,Menlo Park,2,4th and King,570,306,396,619,574,375,404,404,450,540,369
22,Palo Alto,2,4th and King,"2,171",2306,2300,2436,1965,2178,2276,2276,2428,2701,2961
24,California Ave,2,4th and King,613,601,602,839,866,777,819,819,887,1025,975
25,San Antonio,2,4th and King,379,420,462,815,708,624,674,674,757,1060,738
26,Mountain View,2,4th and King,"2,145",1820,1815,2246,1841,1902,2003,2003,2125,2306,2468
27,Sunnyvale,2,4th and King,"1,764",1541,1582,1623,1290,1338,1429,1429,1548,1853,2193
28,Lawrence,2,4th and King,181,473,566,770,713,920,990,990,1124,1113,1387
30,Santa Clara,2,4th and King,235,469,572,609,616,513,560,560,638,845,798
31,College Park,2,4th and King,0,68,26,75,50,0,0,0,0,0,0
32,San Jose Diridon,2,4th and King,"1,857",1951,1985,1497,1444,1512,1611,1567,1340,1481,1700
33,Tamien,2,4th and King,436,551,507,498,382,430,478,478,593,693,870
34,Capitol,2,4th and King,0,26,53,151,48,55,60,60,77,253,247
35,Blossom Hill,2,4th and King,17,46,62,143,76,76,84,84,110,345,390
36,Morgan Hill,2,4th and King,37,83,114,133,71,72,77,77,103,112,131
37,San Martin,2,4th and King,0,35,52,60,29,0,0,0,0,0,0
38,Gilroy,2,4th and King,28,76,110,129,71,54,60,57,59,37,60
1,Transbay,4,22nd St,0,0,0,0,121,289,320,299,358,990,798
2,4th and King,4,22nd St,25,47,78,105,111,248,284,284,336,812,1072
4,22nd St,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
7,Bayshore,4,22nd St,2,1,3,8,11,0,0,0,0,9,12
8,South San Francisco,4,22nd St,5,43,82,117,119,142,175,175,235,393,491
9,San Bruno,4,22nd St,10,16,17,16,16,28,34,34,53,16,24
10,Millbrae,4,22nd St,33,100,161,182,202,322,358,358,433,307,386
11,Broadway,4,22nd St,0,0,17,20,21,0,0,0,0,29,35
12,Burlingame,4,22nd St,4,27,34,50,53,49,61,61,83,63,20
13,San Mateo,4,22nd St,38,64,104,119,124,192,207,207,241,75,177
14,Hayward Park,4,22nd St,22,19,21,28,31,0,0,0,0,12,48
15,Hillsdale,4,22nd St,33,73,137,159,166,258,284,284,333,266,490
16,Belmont,4,22nd St,4,20,18,24,25,91,96,96,109,40,9
17,San Carlos,4,22nd St,17,47,58,74,76,0,0,0,0,37,119
18,Redwood City,4,22nd St,126,135,218,246,253,221,239,239,276,311,496
20,Atherton,4,22nd St,0,0,15,17,20,44,49,49,57,18,24
21,Menlo Park,4,22nd St,128,58,110,151,156,142,158,158,178,151,115
22,Palo Alto,4,22nd St,790,515,674,730,723,781,822,822,928,1081,1482
24,California Ave,4,22nd St,110,117,152,234,234,364,384,384,423,242,340
25,San Antonio,4,22nd St,4,45,27,32,31,0,0,0,0,221,172
26,Mountain View,4,22nd St,287,255,383,533,548,605,641,641,710,728,986
27,Sunnyvale,4,22nd St,22,108,187,186,195,219,244,244,295,359,599
28,Lawrence,4,22nd St,23,73,123,178,184,224,246,246,290,304,614
30,Santa Clara,4,22nd St,15,59,93,99,108,152,169,169,205,230,319
31,College Park,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
