Origin_ID,Origin_Name,Dest_ID,Dest_Name,Ridership_2017_observed,Ridership_2022_diesel,Ridership_2022_PCEP,Ridership_2029_PCEP_noTransbay,Ridership_2029_PCEP,Ridership_2029_HSR1,Ridership_2033_HSR1,Ridership_2033_HSR2,Ridership_2040_HSR2,Ridership_2040_moderate,Ridership_2040_high
1,Transbay,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
2,4th and King,1,Transbay,0,0,0,0,2,3,3,2,2,6,6
4,22nd St,1,Transbay,0,0,0,0,1,2,3,3,4,4,4
7,Bayshore,1,Transbay,0,0,0,0,1,1,2,2,2,2,2
8,South San Francisco,1,Transbay,0,0,0,0,8,6,6,6,7,15,14
9,San Bruno,1,Transbay,0,0,0,0,9,10,11,11,12,12,10
10,Millbrae,1,Transbay,0,0,0,0,5,6,6,6,7,9,8
11,Broadway,1,Transbay,0,0,0,0,6,6,6,6,7,7,7
12,Burlingame,1,Transbay,0,0,0,0,10,11,11,11,11,11,10
13,San Mateo,1,Transbay,0,0,0,0,8,9,9,9,10,10,10
14,Hayward Park,1,Transbay,0,0,0,0,6,6,7,7,8,10,9
15,Hillsdale,1,Transbay,0,0,0,0,15,17,18,18,19,27,25
16,Belmont,1,Transbay,0,0,0,0,6,6,6,6,7,7,7
17,San Carlos,1,Transbay,0,0,0,0,7,8,8,8,8,7,8
18,Redwood City,1,Transbay,0,0,0,0,12,14,13,13,15,20,20
20,Atherton,1,Transbay,0,0,0,0,5,5,5,5,6,6,5
21,Menlo Park,1,Transbay,0,0,0,0,4,4,4,4,5,5,5
22,Palo Alto,1,Transbay,0,0,0,0,11,8,9,9,9,20,20
24,California Ave,1,Transbay,0,0,0,0,8,7,8,8,8,9,8
25,San Antonio,1,Transbay,0,0,0,0,6,5,5,5,6,7,7
26,Mountain View,1,Transbay,0,0,0,0,9,9,9,9,10,13,12
27,Sunnyvale,1,Transbay,0,0,0,0,12,13,13,13,15,18,18
28,Lawrence,1,Transbay,0,0,0,0,10,10,10,10,12,13,12
30,Santa Clara,1,Transbay,0,0,0,0,6,6,6,6,7,7,7
31,College Park,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,1,Transbay,0,0,0,0,12,10,11,11,6,11,12
33,Tamien,1,Transbay,0,0,0,0,3,3,4,4,4,5,6
34,Capitol,1,Transbay,0,0,0,0,0,0,0,0,0,2,3
35,Blossom Hill,1,Transbay,0,0,0,0,0,0,0,0,0,3,3
36,Morgan Hill,1,Transbay,0,0,0,0,0,0,0,0,0,1,2
37,San Martin,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,1,Transbay,0,0,0,0,0,0,0,0,0,1,1
1,Transbay,2,4th and King,0,0,0,0,2,3,3,2,3,9,8
2,4th and King,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
4,22nd St,2,4th and King,0,2,2,2,2,2,2,2,3,4,4
7,Bayshore,2,4th and King,1,2,2,2,2,2,2,2,2,1,1
8,South San Francisco,2,4th and King,2,9,13,13,8,7,8,8,9,14,13
9,San Bruno,2,4th and King,23,12,14,13,13,14,13,13,14,14,13
10,Millbrae,2,4th and King,14,7,6,8,8,10,11,11,12,13,12
11,Broadway,2,4th and King,0,0,6,8,7,7,8,8,8,7,7
12,Burlingame,2,4th and King,4,12,14,13,12,12,11,11,12,13,12
13,San Mateo,2,4th and King,0,9,10,10,8,8,10,10,11,10,9
14,Hayward Park,2,4th and King,3,7,5,6,8,7,8,8,9,10,9
15,Hillsdale,2,4th and King,24,17,22,22,15,17,18,18,19,20,20
16,Belmont,2,4th and King,4,7,6,6,7,7,6,6,6,7,7
17,San Carlos,2,4th and King,0,9,8,10,8,8,8,8,9,7,9
18,Redwood City,2,4th and King,43,14,16,18,13,15,16,16,17,17,16
20,Atherton,2,4th and King,0,0,5,6,7,5,6,6,6,6,6
21,Menlo Park,2,4th and King,0,3,3,5,5,3,5,5,6,6,6
22,Palo Alto,2,4th and King,14,12,14,13,10,10,10,10,11,14,13
24,California Ave,2,4th and King,10,9,8,10,8,8,8,8,9,10,9
25,San Antonio,2,4th and King,0,5,5,6,7,5,6,6,6,7,7
26,Mountain View,2,4th and King,14,9,10,11,8,8,10,10,11,11,10
27,Sunnyvale,2,4th and King,0,16,16,16,13,14,15,15,15,16,15
28,Lawrence,2,4th and King,0,10,10,11,12,12,13,13,14,13,12
30,Santa Clara,2,4th and King,0,9,8,8,8,7,8,8,8,7,7
31,College Park,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,2,4th and King,29,20,22,16,15,15,14,14,11,15,17
33,Tamien,2,4th and King,12,7,4,5,3,4,4,4,5,6,6
34,Capitol,2,4th and King,0,0,0,0,0,0,0,0,0,2,3
35,Blossom Hill,2,4th and King,0,0,0,0,0,0,0,0,0,3,3
36,Morgan Hill,2,4th and King,0,0,0,0,0,0,0,0,0,1,1
37,San Martin,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,2,4th and King,0,0,0,0,0,0,0,0,0,1,1
1,Transbay,4,22nd St,0,0,0,0,1,1,2,2,2,2,3
2,4th and King,4,22nd St,0,0,1,1,1,0,1,1,1,1,2
4,22nd St,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
7,Bayshore,4,22nd St,0,0,0,0,0,0,0,0,0,0,1
8,South San Francisco,4,22nd St,1,1,1,2,1,0,1,1,1,1,2
9,San Bruno,4,22nd St,0,1,2,2,2,1,2,2,2,1,2
10,Millbrae,4,22nd St,0,1,1,1,1,1,1,1,2,1,2
11,Broadway,4,22nd St,0,0,1,1,1,0,0,0,0,0,1
12,Burlingame,4,22nd St,1,1,2,2,2,2,2,2,2,1,2
13,San Mateo,4,22nd St,0,1,1,2,2,1,2,2,2,1,2
14,Hayward Park,4,22nd St,1,0,1,1,1,0,0,0,0,1,2
15,Hillsdale,4,22nd St,4,1,3,2,2,2,2,2,3,2,3
16,Belmont,4,22nd St,1,1,1,1,2,1,1,1,1,1,2
17,San Carlos,4,22nd St,0,1,2,2,1,0,0,0,0,0,2
18,Redwood City,4,22nd St,0,1,2,2,3,2,3,3,3,2,3
20,Atherton,4,22nd St,0,0,1,1,1,1,1,1,1,0,1
21,Menlo Park,4,22nd St,0,0,1,1,1,0,1,1,1,0,1
22,Palo Alto,4,22nd St,0,1,2,2,2,1,2,2,2,1,2
24,California Ave,4,22nd St,0,1,2,2,2,1,2,2,2,1,2
25,San Antonio,4,22nd St,4,0,1,1,1,0,0,0,0,1,2
26,Mountain View,4,22nd St,0,1,1,2,2,1,2,2,2,2,3
27,Sunnyvale,4,22nd St,4,1,3,2,3,2,3,3,3,2,3
28,Lawrence,4,22nd St,0,1,2,2,2,1,2,2,2,1,2
30,Santa Clara,4,22nd St,0,1,1,2,2,1,2,2,2,1,2
31,College Park,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,4,22nd St,0,1,3,2,3,3,3,3,3,2,4
33,Tamien,4,22nd St,0,1,1,1,1,0,1,1,1,1,2
34,Capitol,4,22nd St,0,0,0,0,0,0,0,0,0,0,1
35,Blossom Hill,4,22nd St,0,0,0,0,0,0,0,0,0,0,1
36,Morgan Hill,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
37,San Martin,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,4,22nd St,0,0,0,0,0,0,0,0,0,0,1
1,Transbay,7,Bayshore,0,0,0,0,0,1,1,1,2,2,2
2,4th and King,7,Bayshore,0,0,0,0,0,0,0,0,0,0,0
4,22nd St,7,Bayshore,0,0,0,0,0,0,0,0,0,0,0
7,Bayshore,7,Bayshore,0,0,0,0,0,0,0,0,0,0,0
8,South San Francisco,7,Bayshore,1,0,0,0,0,0,0,0,0,1,1
9,San Bruno,7,Bayshore,0,0,0,0,0,0,0,0,0,1,1
10,Millbrae,7,Bayshore,1,0,0,0,0,1,1,2,3,2,2
11,Broadway,7,Bayshore,0,0,0,0,0,0,0,0,0,0,0
12,Burlingame,7,Bayshore,1,0,0,0,0,0,0,0,0,1,1
13,San Mateo,7,Bayshore,0,1,0,1,1,0,0,0,0,1,1
14,Hayward Park,7,Bayshore,1,0,0,0,0,0,1,1,1,1,1
15,Hillsdale,7,Bayshore,0,2,2,2,1,1,1,1,1,1,1
16,Belmont,7,Bayshore,1,0,0,1,1,0,0,0,0,1,1
17,San Carlos,7,Bayshore,0,0,0,0,0,0,1,1,1,1,1
18,Redwood City,7,Bayshore,0,1,1,1,1,1,1,1,2,2,2
20,Atherton,7,Bayshore,0,0,0,0,0,0,0,0,0,0,0
21,Menlo Park,7,Bayshore,0,0,0,0,0,0,0,0,0,0,1
22,Palo Alto,7,Bayshore,0,1,1,2,2,1,2,2,2,2,2
24,California Ave,7,Bayshore,0,1,0,1,1,0,0,0,0,1,1
25,San Antonio,7,Bayshore,0,0,1,1,1,1,1,1,1,1,1
26,Mountain View,7,Bayshore,0,1,1,1,1,1,1,1,1,1,1
