Origin_ID,Origin_Name,Dest_ID,Dest_Name,Ridership_2017_observed,Ridership_2022_diesel,Ridership_2022_PCEP,Ridership_2029_PCEP_noTransbay,Ridership_2029_PCEP,Ridership_2029_HSR1,Ridership_2033_HSR1,Ridership_2033_HSR2,Ridership_2040_HSR2,Ridership_2040_moderate,Ridership_2040_high
1,Transbay,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
2,4th and King,1,Transbay,0,0,0,0,0,28,29,24,23,514,485
4,22nd St,1,Transbay,0,0,0,0,20,115,131,129,161,331,324
7,Bayshore,1,Transbay,0,0,0,0,15,84,98,97,123,127,118
8,South San Francisco,1,Transbay,0,0,0,0,36,15,17,16,23,115,107
9,San Bruno,1,Transbay,0,0,0,0,12,20,21,20,22,17,16
10,Millbrae,1,Transbay,0,0,0,0,6,28,28,28,30,60,57
11,Broadway,1,Transbay,0,0,0,0,16,17,17,17,19,13,11
12,Burlingame,1,Transbay,0,0,0,0,23,23,23,23,24,17,15
13,San Mateo,1,Transbay,0,0,0,0,30,45,47,47,51,27,32
14,Hayward Park,1,Transbay,0,0,0,0,17,20,21,21,24,18,16
15,Hillsdale,1,Transbay,0,0,0,0,32,71,74,74,80,142,128
16,Belmont,1,Transbay,0,0,0,0,13,13,14,14,14,9,10
17,San Carlos,1,Transbay,0,0,0,0,16,11,11,11,11,4,11
18,Redwood City,1,Transbay,0,0,0,0,37,50,52,52,59,117,111
20,Atherton,1,Transbay,0,0,0,0,5,4,4,4,4,4,0
21,Menlo Park,1,Transbay,0,0,0,0,9,5,5,5,6,3,9
22,Palo Alto,1,Transbay,0,0,0,0,227,153,156,156,165,568,545
24,California Ave,1,Transbay,0,0,0,0,55,39,40,40,41,45,41
25,San Antonio,1,Transbay,0,0,0,0,41,37,39,39,45,52,49
26,Mountain View,1,Transbay,0,0,0,0,68,105,110,110,119,206,196
27,Sunnyvale,1,Transbay,0,0,0,0,45,67,74,74,83,191,180
28,Lawrence,1,Transbay,0,0,0,0,21,40,43,43,50,49,46
30,Santa Clara,1,Transbay,0,0,0,0,15,17,17,17,18,35,34
31,College Park,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,1,Transbay,0,0,0,0,10,38,39,36,8,95,99
33,Tamien,1,Transbay,0,0,0,0,4,20,21,21,26,58,59
34,Capitol,1,Transbay,0,0,0,0,0,0,0,0,0,24,29
35,Blossom Hill,1,Transbay,0,0,0,0,0,0,0,0,0,32,37
36,Morgan Hill,1,Transbay,0,0,0,0,0,0,0,0,0,12,13
37,San Martin,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,1,Transbay,0,0,0,0,0,0,0,0,0,0,2
1,Transbay,2,4th and King,0,0,0,0,0,22,22,16,17,436,406
2,4th and King,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
4,22nd St,2,4th and King,2,0,3,6,7,56,68,68,88,246,245
7,Bayshore,2,4th and King,0,0,5,5,4,4,4,4,4,0,0
8,South San Francisco,2,4th and King,0,10,26,35,16,10,13,13,18,78,72
9,San Bruno,2,4th and King,11,9,21,18,14,16,18,18,22,20,19
10,Millbrae,2,4th and King,9,8,17,26,25,43,48,48,56,81,74
11,Broadway,2,4th and King,0,0,14,18,10,11,13,13,15,10,9
12,Burlingame,2,4th and King,29,15,24,25,12,13,14,14,16,11,10
13,San Mateo,2,4th and King,30,22,36,33,17,24,25,25,29,16,17
14,Hayward Park,2,4th and King,0,3,10,18,9,10,12,12,14,8,7
15,Hillsdale,2,4th and King,18,17,34,27,15,34,37,37,44,72,65
16,Belmont,2,4th and King,13,5,14,15,8,7,8,8,8,4,4
17,San Carlos,2,4th and King,0,8,14,16,8,8,8,8,8,2,3
18,Redwood City,2,4th and King,30,24,40,42,23,31,34,34,41,70,65
20,Atherton,2,4th and King,0,0,4,5,3,4,4,4,4,4,0
21,Menlo Park,2,4th and King,39,2,6,8,4,3,4,4,4,2,8
22,Palo Alto,2,4th and King,93,130,235,185,67,99,105,105,118,217,206
24,California Ave,2,4th and King,59,29,45,51,25,24,25,25,26,42,40
25,San Antonio,2,4th and King,21,3,43,43,20,20,21,21,24,38,36
26,Mountain View,2,4th and King,61,41,72,70,32,64,69,69,76,122,115
27,Sunnyvale,2,4th and King,19,15,66,43,22,37,41,41,48,108,102
28,Lawrence,2,4th and King,0,10,19,22,13,27,29,29,33,34,32
30,Santa Clara,2,4th and King,4,24,58,25,22,18,19,19,20,38,36
31,College Park,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,2,4th and King,21,21,83,20,18,54,61,57,32,106,112
33,Tamien,2,4th and King,0,0,12,7,5,19,21,21,29,54,55
34,Capitol,2,4th and King,0,0,0,0,0,0,0,0,0,23,28
35,Blossom Hill,2,4th and King,0,0,0,0,0,0,0,0,0,31,35
36,Morgan Hill,2,4th and King,0,0,0,0,0,0,0,0,0,10,12
37,San Martin,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,2,4th and King,0,0,0,0,0,0,0,0,0,1,3
1,Transbay,4,22nd St,0,0,0,0,26,150,169,167,204,432,460
2,4th and King,4,22nd St,2,0,4,12,13,108,124,124,152,379,418
4,22nd St,4,22nd St,0,0,0,0,0,0,0,0,0,0,0
7,Bayshore,4,22nd St,0,0,2,7,8,0,0,0,0,6,7
8,South San Francisco,4,22nd St,0,3,7,13,8,5,6,6,8,28,33
9,San Bruno,4,22nd St,0,2,7,6,6,6,7,7,9,4,5
10,Millbrae,4,22nd St,0,4,9,10,10,16,17,17,20,28,33
11,Broadway,4,22nd St,0,0,5,5,5,0,0,0,0,2,2
12,Burlingame,4,22nd St,0,4,7,6,6,6,7,7,8,2,2
13,San Mateo,4,22nd St,0,5,8,8,8,11,12,12,13,2,4
14,Hayward Park,4,22nd St,1,0,5,5,5,0,0,0,0,1,1
15,Hillsdale,4,22nd St,0,4,7,7,7,12,14,14,15,23,27
