Origin_ID,Origin_Name,Dest_ID,Dest_Name,Ridership_2017_observed,Ridership_2022_diesel,Ridership_2022_PCEP,Ridership_2029_PCEP_noTransbay,Ridership_2029_PCEP,Ridership_2029_HSR1,Ridership_2033_HSR1,Ridership_2033_HSR2,Ridership_2040_HSR2,Ridership_2040_moderate,Ridership_2040_high
1,Transbay,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
2,4th and King,1,Transbay,0,0,0,0,30,37,39,35,38,130,122
4,22nd St,1,Transbay,0,0,0,0,15,31,35,34,41,66,68
7,Bayshore,1,Transbay,0,0,0,0,8,25,28,27,33,33,31
8,South San Francisco,1,Transbay,0,0,0,0,48,28,32,31,37,110,104
9,San Bruno,1,Transbay,0,0,0,0,26,31,33,33,36,34,32
10,Millbrae,1,Transbay,0,0,0,0,33,47,49,49,52,79,76
11,Broadway,1,Transbay,0,0,0,0,29,30,31,31,34,31,29
12,Burlingame,1,Transbay,0,0,0,0,37,38,40,40,42,38,37
13,San Mateo,1,Transbay,0,0,0,0,45,57,59,59,64,47,49
14,Hayward Park,1,Transbay,0,0,0,0,28,29,31,31,35,32,31
15,Hillsdale,1,Transbay,0,0,0,0,53,82,86,86,93,142,130
16,Belmont,1,Transbay,0,0,0,0,28,27,28,28,31,28,28
17,San Carlos,1,Transbay,0,0,0,0,29,25,26,26,28,25,29
18,Redwood City,1,Transbay,0,0,0,0,58,66,69,69,75,120,114
20,Atherton,1,Transbay,0,0,0,0,14,13,14,14,15,16,10
21,Menlo Park,1,Transbay,0,0,0,0,29,26,28,28,30,31,34
22,Palo Alto,1,Transbay,0,0,0,0,189,150,156,156,169,388,373
24,California Ave,1,Transbay,0,0,0,0,74,61,64,64,72,80,76
25,San Antonio,1,Transbay,0,0,0,0,54,45,50,50,57,66,64
26,Mountain View,1,Transbay,0,0,0,0,92,110,115,115,123,173,167
27,Sunnyvale,1,Transbay,0,0,0,0,87,100,106,106,116,176,169
28,Lawrence,1,Transbay,0,0,0,0,46,55,59,59,65,68,66
30,Santa Clara,1,Transbay,0,0,0,0,48,48,51,51,56,66,64
31,College Park,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,1,Transbay,0,0,0,0,73,85,89,86,69,125,126
33,Tamien,1,Transbay,0,0,0,0,13,22,24,24,30,52,55
34,Capitol,1,Transbay,0,0,0,0,0,0,0,0,0,18,23
35,Blossom Hill,1,Transbay,0,0,0,0,0,0,0,0,0,30,34
36,Morgan Hill,1,Transbay,0,0,0,0,0,0,0,0,0,13,15
37,San Martin,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,1,Transbay,0,0,0,0,0,0,0,0,0,3,7
1,Transbay,2,4th and King,0,0,0,0,33,41,43,39,43,135,127
2,4th and King,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
4,22nd St,2,4th and King,2,4,8,11,11,20,22,22,29,54,57
7,Bayshore,2,4th and King,5,2,5,6,6,5,5,5,6,3,3
8,South San Francisco,2,4th and King,7,23,40,53,32,24,29,29,34,85,81
9,San Bruno,2,4th and King,12,24,33,32,31,30,33,33,38,36,34
10,Millbrae,2,4th and King,9,36,39,53,53,66,73,73,81,100,93
11,Broadway,2,4th and King,0,0,25,31,26,26,26,26,31,26,24
12,Burlingame,2,4th and King,28,33,39,42,31,29,31,31,34,29,28
13,San Mateo,2,4th and King,61,43,54,53,37,41,44,44,47,35,34
14,Hayward Park,2,4th and King,14,13,21,30,23,22,23,23,27,23,22
15,Hillsdale,2,4th and King,31,46,59,53,40,55,57,57,64,86,80
16,Belmont,2,4th and King,27,21,26,29,24,22,23,23,25,22,20
17,San Carlos,2,4th and King,21,21,25,30,24,21,23,23,25,21,21
18,Redwood City,2,4th and King,68,49,57,63,47,55,57,57,63,85,81
20,Atherton,2,4th and King,0,0,10,13,13,12,11,11,14,14,8
21,Menlo Park,2,4th and King,45,17,23,27,24,21,22,22,25,25,28
22,Palo Alto,2,4th and King,82,143,201,180,111,124,132,132,146,200,192
24,California Ave,2,4th and King,27,43,56,69,58,49,53,53,59,70,66
25,San Antonio,2,4th and King,42,29,47,53,42,35,38,38,44,54,52
26,Mountain View,2,4th and King,80,78,96,97,70,88,94,94,100,125,119
27,Sunnyvale,2,4th and King,91,78,104,89,69,78,84,84,91,123,117
28,Lawrence,2,4th and King,18,32,39,46,39,46,48,48,53,54,52
30,Santa Clara,2,4th and King,42,45,66,50,51,44,46,46,52,62,59
31,College Park,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,2,4th and King,93,78,125,77,74,99,105,102,86,130,132
33,Tamien,2,4th and King,1,14,17,16,13,22,25,25,32,51,52
34,Capitol,2,4th and King,0,0,0,0,0,0,0,0,0,19,23
35,Blossom Hill,2,4th and King,0,0,0,0,0,0,0,0,0,29,33
36,Morgan Hill,2,4th and King,0,0,0,0,0,0,0,0,0,11,13
37,San Martin,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,2,4th and King,0,0,0,0,0,0,0,0,0,5,8
