Origin_ID,Origin_Name,Dest_ID,Dest_Name,Ridership_2017_observed,Ridership_2022_diesel,Ridership_2022_PCEP,Ridership_2029_PCEP_noTransbay,Ridership_2029_PCEP,Ridership_2029_HSR1,Ridership_2033_HSR1,Ridership_2033_HSR2,Ridership_2040_HSR2,Ridership_2040_moderate,Ridership_2040_high
1,Transbay,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
2,4th and King,1,Transbay,0,0,0,0,95,231,267,238,308,389,379
4,22nd St,1,Transbay,0,0,0,0,12,26,27,16,20,75,59
7,Bayshore,1,Transbay,0,0,0,0,10,12,13,7,8,15,17
8,South San Francisco,1,Transbay,0,0,0,0,73,104,119,114,151,414,394
9,San Bruno,1,Transbay,0,0,0,0,65,54,60,57,66,49,47
10,Millbrae,1,Transbay,0,0,0,0,194,216,232,232,262,280,268
11,Broadway,1,Transbay,0,0,0,0,29,61,67,67,77,32,26
12,Burlingame,1,Transbay,0,0,0,0,78,71,82,82,104,68,122
13,San Mateo,1,Transbay,0,0,0,0,127,143,155,155,184,71,97
14,Hayward Park,1,Transbay,0,0,0,0,78,73,78,78,87,55,48
15,Hillsdale,1,Transbay,0,0,0,0,180,243,262,262,302,298,258
16,Belmont,1,Transbay,0,0,0,0,79,74,80,80,90,52,55
17,San Carlos,1,Transbay,0,0,0,0,145,109,117,117,136,90,139
18,Redwood City,1,Transbay,0,0,0,0,236,221,236,236,258,358,335
20,Atherton,1,Transbay,0,0,0,0,22,39,41,41,45,24,23
21,Menlo Park,1,Transbay,0,0,0,0,213,180,194,194,245,317,285
22,Palo Alto,1,Transbay,0,0,0,0,627,758,762,762,829,1379,1350
24,California Ave,1,Transbay,0,0,0,0,210,220,235,235,263,331,322
25,San Antonio,1,Transbay,0,0,0,0,177,178,188,188,208,290,281
26,Mountain View,1,Transbay,0,0,0,0,380,481,502,502,532,677,667
27,Sunnyvale,1,Transbay,0,0,0,0,142,206,220,220,245,288,285
28,Lawrence,1,Transbay,0,0,0,0,110,188,197,197,214,250,223
30,Santa Clara,1,Transbay,0,0,0,0,87,67,77,77,96,178,170
31,College Park,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,1,Transbay,0,0,0,0,280,205,223,205,80,144,213
33,Tamien,1,Transbay,0,0,0,0,82,81,91,91,111,110,127
34,Capitol,1,Transbay,0,0,0,0,0,0,0,0,0,47,57
35,Blossom Hill,1,Transbay,0,0,0,0,0,0,0,0,0,71,81
36,Morgan Hill,1,Transbay,0,0,0,0,0,0,0,0,0,30,35
37,San Martin,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
1,Transbay,2,4th and King,0,0,0,0,193,575,643,613,752,463,709
