,scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
0,Existing,22nd Street Caltrain,Bayshore Caltrain,4,1,5.0,5,5,60,29.5,0.0,59.0
1,Existing,22nd Street Caltrain,Bayshore Caltrain,5,1,5.0,5,5,60,24.5,0.0,49.0
2,Existing,22nd Street Caltrain,Bayshore Caltrain,6,1,5.0,5,5,60,29.5,0.0,59.0
3,Existing,22nd Street Caltrain,Bayshore Caltrain,7,1,5.0,5,5,60,29.5,0.0,59.0
4,Existing,22nd Street Caltrain,Bayshore Caltrain,8,1,5.0,5,5,60,20.166666666666668,0.0,45.0
5,Existing,22nd Street Caltrain,Bayshore Caltrain,9,1,5.0,5,5,60,28.6,0.0,58.0
6,Existing,22nd Street Caltrain,Bayshore Caltrain,10,1,5.0,5,5,60,29.5,0.0,59.0
7,Existing,22nd Street Caltrain,Bayshore Caltrain,11,1,5.0,5,5,60,29.5,0.0,59.0
8,Existing,22nd Street Caltrain,Bayshore Caltrain,12,1,5.0,5,5,60,29.5,0.0,59.0
9,Existing,22nd Street Caltrain,Bayshore Caltrain,13,1,5.0,5,5,60,29.5,0.0,59.0
10,Existing,22nd Street Caltrain,Bayshore Caltrain,14,1,5.0,5,5,60,29.5,0.0,59.0
11,Existing,22nd Street Caltrain,Bayshore Caltrain,15,1,5.0,5,5,60,58.833333333333336,0.0,91.0
12,Existing,22nd Street Caltrain,Bayshore Caltrain,16,1,5.0,5,5,60,29.5,0.0,59.0
13,Existing,22nd Street Caltrain,Bayshore Caltrain,17,1,6.0,6,6,60,29.5,0.0,59.0
14,Existing,22nd Street Caltrain,Bayshore Caltrain,18,1,5.0,5,5,60,28.733333333333334,0.0,57.0
15,Existing,22nd Street Caltrain,Bayshore Caltrain,19,1,5.0,5,5,60,29.5,0.0,59.0
16,Existing,22nd Street Caltrain,Bayshore Caltrain,20,1,5.0,5,5,60,29.5,0.0,59.0
17,Existing,22nd Street Caltrain,Bayshore Caltrain,21,1,5.0,5,5,60,29.5,0.0,59.0
18,Existing,22nd Street Caltrain,Bayshore Caltrain,22,1,5.0,5,5,60,44.5,0.0,95.0
19,Existing,22nd Street Caltrain,Bayshore Caltrain,24,1,5.0,5,5,11,5.0,0.0,10.0
20,Existing,22nd Street Caltrain,Belmont Caltrain,4,1,36.0,36,36,60,29.5,0.0,59.0
21,Existing,22nd Street Caltrain,Belmont Caltrain,5,1,38.0,38,38,60,24.5,0.0,49.0
22,Existing,22nd Street Caltrain,Belmont Caltrain,6,1,39.0,39,39,60,29.5,0.0,59.0
23,Existing,22nd Street Caltrain,Belmont Caltrain,7,1,39.0,39,39,60,29.5,0.0,59.0
24,Existing,22nd Street Caltrain,Belmont Caltrain,8,1,39.0,39,39,60,20.166666666666668,0.0,45.0
25,Existing,22nd Street Caltrain,Belmont Caltrain,9,1,38.0,38,38,60,28.6,0.0,58.0
26,Existing,22nd Street Caltrain,Belmont Caltrain,10,1,39.0,39,39,60,29.5,0.0,59.0
27,Existing,22nd Street Caltrain,Belmont Caltrain,11,1,39.0,39,39,60,29.5,0.0,59.0
28,Existing,22nd Street Caltrain,Belmont Caltrain,12,1,39.0,39,39,60,29.5,0.0,59.0
29,Existing,22nd Street Caltrain,Belmont Caltrain,13,1,39.0,39,39,60,29.5,0.0,59.0
30,Existing,22nd Street Caltrain,Belmont Caltrain,14,1,39.0,39,39,60,29.5,0.0,59.0
31,Existing,22nd Street Caltrain,Belmont Caltrain,15,1,42.0,42,42,60,58.833333333333336,0.0,91.0
32,Existing,22nd Street Caltrain,Belmont Caltrain,16,1,43.0,43,43,60,29.5,0.0,59.0
33,Existing,22nd Street Caltrain,Belmont Caltrain,17,1,43.0,43,43,60,29.5,0.0,59.0
34,Existing,22nd Street Caltrain,Belmont Caltrain,18,1,43.0,43,43,60,28.733333333333334,0.0,57.0
35,Existing,22nd Street Caltrain,Belmont Caltrain,19,1,41.0,41,41,60,29.5,0.0,59.0
36,Existing,22nd Street Caltrain,Belmont Caltrain,20,1,41.0,41,41,60,29.5,0.0,59.0
37,Existing,22nd Street Caltrain,Belmont Caltrain,21,1,41.0,41,41,60,29.5,0.0,59.0
38,Existing,22nd Street Caltrain,Belmont Caltrain,22,1,41.0,41,41,60,44.5,0.0,95.0
39,Existing,22nd Street Caltrain,Belmont Caltrain,24,1,41.0,41,41,11,5.0,0.0,10.0
40,Existing,22nd Street Caltrain,Blossom Hill Caltrain,15,1,119.0,119,119,60,113.83333333333333,0.0,151.0
41,Existing,22nd Street Caltrain,Blossom Hill Caltrain,17,1,108.0,108,108,37,18.0,0.0,36.0
42,Existing,22nd Street Caltrain,Burlingame Caltrain,4,1,23.0,23,23,60,29.5,0.0,59.0
43,Existing,22nd Street Caltrain,Burlingame Caltrain,5,1,24.0,24,24,60,19.5,0.0,39.0
44,Existing,22nd Street Caltrain,Burlingame Caltrain,6,2,21.0,17,25,60,21.833333333333332,0.0,50.0
45,Existing,22nd Street Caltrain,Burlingame Caltrain,7,2,21.0,17,25,60,21.85,0.0,50.0
46,Existing,22nd Street Caltrain,Burlingame Caltrain,8,2,21.0,17,25,60,18.516666666666666,0.0,45.0
47,Existing,22nd Street Caltrain,Burlingame Caltrain,9,1,24.0,24,24,60,28.6,0.0,58.0
48,Existing,22nd Street Caltrain,Burlingame Caltrain,10,1,25.0,25,25,60,29.5,0.0,59.0
49,Existing,22nd Street Caltrain,Burlingame Caltrain,11,1,25.0,25,25,60,29.5,0.0,59.0
50,Existing,22nd Street Caltrain,Burlingame Caltrain,12,1,25.0,25,25,60,29.5,0.0,59.0
51,Existing,22nd Street Caltrain,Burlingame Caltrain,13,1,25.0,25,25,60,29.5,0.0,59.0
52,Existing,22nd Street Caltrain,Burlingame Caltrain,14,1,25.0,25,25,60,29.5,0.0,59.0
53,Existing,22nd Street Caltrain,Burlingame Caltrain,15,1,28.0,28,28,60,58.833333333333336,0.0,91.0
54,Existing,22nd Street Caltrain,Burlingame Caltrain,16,1,29.0,29,29,60,29.5,0.0,59.0
55,Existing,22nd Street Caltrain,Burlingame Caltrain,17,1,29.0,29,29,60,29.5,0.0,59.0
56,Existing,22nd Street Caltrain,Burlingame Caltrain,18,1,29.0,29,29,60,28.733333333333334,0.0,57.0
57,Existing,22nd Street Caltrain,Burlingame Caltrain,19,1,27.0,27,27,60,29.5,0.0,59.0
58,Existing,22nd Street Caltrain,Burlingame Caltrain,20,1,27.0,27,27,60,29.5,0.0,59.0
59,Existing,22nd Street Caltrain,Burlingame Caltrain,21,1,27.0,27,27,60,29.5,0.0,59.0
60,Existing,22nd Street Caltrain,Burlingame Caltrain,22,1,27.0,27,27,60,44.5,0.0,95.0
61,Existing,22nd Street Caltrain,Burlingame Caltrain,24,1,27.0,27,27,11,5.0,0.0,10.0
62,Existing,22nd Street Caltrain,California Ave Caltrain,4,1,56.0,56,56,60,29.5,0.0,59.0
63,Existing,22nd Street Caltrain,California Ave Caltrain,5,1,59.0,59,59,60,19.5,0.0,39.0
