,scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
0,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,6,3,8.666666666666666,8,9,60,10.5,0.0,25.0
1,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,7,4,8.5,8,9,60,9.7,0.0,23.0
2,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,8,4,8.5,8,9,60,9.7,0.0,23.0
3,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,9,4,8.5,8,9,60,9.7,0.0,23.0
4,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,10,4,8.5,8,9,60,9.7,0.0,23.0
5,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,11,3,8.333333333333334,8,9,60,23.3,0.0,53.0
6,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,12,2,8.5,8,9,60,24.1,0.0,53.0
7,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,13,2,8.5,8,9,60,24.1,0.0,53.0
8,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,14,2,8.5,8,9,60,24.1,0.0,53.0
9,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,15,2,8.5,8,9,60,24.1,0.0,53.0
10,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,16,3,8.666666666666666,8,9,60,10.5,0.0,25.0
11,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,17,4,8.5,8,9,60,9.7,0.0,23.0
12,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,18,4,8.5,8,9,60,9.7,0.0,23.0
13,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,19,4,8.5,8,9,60,9.7,0.0,23.0
14,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,20,4,8.5,8,9,60,9.7,0.0,23.0
15,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,21,3,8.333333333333334,8,9,60,23.3,0.0,53.0
16,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,22,2,8.5,8,9,60,24.1,0.0,53.0
17,Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,23,2,8.5,8,9,60,24.1,0.0,53.0
