scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
Existing,Bayshore,Belmont,5,2,32.0,31,33,60,22.833333333333332,0.0,49.0
Existing,Bayshore,Belmont,6,1,34.0,34,34,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,7,1,34.0,34,34,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,8,1,34.0,34,34,60,21.333333333333332,0.0,45.0
Existing,Bayshore,Belmont,9,1,33.0,33,33,60,28.683333333333334,0.0,58.0
Existing,Bayshore,Belmont,10,1,34.0,34,34,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,11,1,34.0,34,34,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,12,1,34.0,34,34,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,13,1,34.0,34,34,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,14,1,34.0,34,34,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,15,1,37.0,37,37,60,56.166666666666664,0.0,91.0
Existing,Bayshore,Belmont,16,1,38.0,38,38,60,29.8,0.0,60.0
Existing,Bayshore,Belmont,17,1,37.0,37,37,60,29.216666666666665,0.0,58.0
Existing,Bayshore,Belmont,18,1,38.0,38,38,60,28.9,0.0,57.0
Existing,Bayshore,Belmont,19,1,36.0,36,36,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,20,1,36.0,36,36,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,21,1,36.0,36,36,60,29.5,0.0,59.0
Existing,Bayshore,Belmont,22,1,36.0,36,36,60,41.5,0.0,95.0
Existing,Bayshore,Belmont,24,1,36.0,36,36,16,7.5,0.0,15.0
Existing,Bayshore,Blossom Hill,15,1,114.0,114,114,60,107.0,0.0,152.0
Existing,Bayshore,Blossom Hill,17,1,102.0,102,102,43,21.0,0.0,42.0
Existing,Bayshore,Burlingame,5,2,18.5,18,19,60,22.833333333333332,0.0,49.0
Existing,Bayshore,Burlingame,6,1,20.0,20,20,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,7,1,20.0,20,20,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,8,1,20.0,20,20,60,21.333333333333332,0.0,45.0
Existing,Bayshore,Burlingame,9,1,19.0,19,19,60,28.683333333333334,0.0,58.0
Existing,Bayshore,Burlingame,10,1,20.0,20,20,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,11,1,20.0,20,20,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,12,1,20.0,20,20,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,13,1,20.0,20,20,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,14,1,20.0,20,20,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,15,1,23.0,23,23,60,56.166666666666664,0.0,91.0
Existing,Bayshore,Burlingame,16,1,24.0,24,24,60,29.8,0.0,60.0
Existing,Bayshore,Burlingame,17,1,23.0,23,23,60,29.216666666666665,0.0,58.0
Existing,Bayshore,Burlingame,18,1,24.0,24,24,60,28.9,0.0,57.0
Existing,Bayshore,Burlingame,19,1,22.0,22,22,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,20,1,22.0,22,22,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,21,1,22.0,22,22,60,29.5,0.0,59.0
Existing,Bayshore,Burlingame,22,1,22.0,22,22,60,41.5,0.0,95.0
Existing,Bayshore,Burlingame,24,1,22.0,22,22,16,7.5,0.0,15.0
Existing,Bayshore,California Ave,5,2,52.5,51,54,60,92.0,0.0,215.0
Existing,Bayshore,California Ave,9,1,54.0,54,54,60,28.683333333333334,0.0,58.0
Existing,Bayshore,California Ave,10,1,55.0,55,55,60,29.5,0.0,59.0
Existing,Bayshore,California Ave,11,1,55.0,55,55,60,29.5,0.0,59.0
Existing,Bayshore,California Ave,12,1,55.0,55,55,60,29.5,0.0,59.0
Existing,Bayshore,California Ave,13,1,55.0,55,55,60,29.5,0.0,59.0
Existing,Bayshore,California Ave,14,1,55.0,55,55,60,29.5,0.0,59.0
Existing,Bayshore,California Ave,15,1,59.0,59,59,60,204.5,0.0,269.0
Existing,Bayshore,California Ave,19,1,56.0,56,56,60,29.5,0.0,59.0
Existing,Bayshore,California Ave,20,1,56.0,56,56,60,29.5,0.0,59.0
Existing,Bayshore,California Ave,21,1,56.0,56,56,60,29.5,0.0,59.0
Existing,Bayshore,California Ave,22,1,56.0,56,56,60,41.5,0.0,95.0
Existing,Bayshore,California Ave,24,1,56.0,56,56,16,7.5,0.0,15.0
Existing,Bayshore,Capitol,15,1,108.0,108,108,60,107.0,0.0,152.0
Existing,Bayshore,Capitol,17,1,96.0,96,96,43,21.0,0.0,42.0
Existing,Bayshore,College Park,15,1,86.0,86,86,10,4.5,0.0,9.0
Existing,Bayshore,Gilroy,15,1,148.0,148,148,60,107.0,0.0,152.0
Existing,Bayshore,Gilroy,17,1,136.0,136,136,43,21.0,0.0,42.0
Existing,Bayshore,Hayward Park,5,2,25.0,24,26,60,22.833333333333332,0.0,49.0
Existing,Bayshore,Hayward Park,6,1,27.0,27,27,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,7,1,27.0,27,27,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,8,1,27.0,27,27,60,21.333333333333332,0.0,45.0
Existing,Bayshore,Hayward Park,9,1,26.0,26,26,60,28.683333333333334,0.0,58.0
Existing,Bayshore,Hayward Park,10,1,27.0,27,27,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,11,1,27.0,27,27,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,12,1,27.0,27,27,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,13,1,27.0,27,27,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,14,1,27.0,27,27,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,15,1,30.0,30,30,60,56.166666666666664,0.0,91.0
Existing,Bayshore,Hayward Park,16,1,31.0,31,31,60,29.8,0.0,60.0
Existing,Bayshore,Hayward Park,17,1,30.0,30,30,60,29.216666666666665,0.0,58.0
Existing,Bayshore,Hayward Park,18,1,31.0,31,31,60,28.9,0.0,57.0
Existing,Bayshore,Hayward Park,19,1,29.0,29,29,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,20,1,29.0,29,29,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,21,1,29.0,29,29,60,29.5,0.0,59.0
Existing,Bayshore,Hayward Park,22,1,29.0,29,29,60,41.5,0.0,95.0
Existing,Bayshore,Hayward Park,24,1,29.0,29,29,16,7.5,0.0,15.0
Existing,Bayshore,Hillsdale,5,2,28.5,28,29,60,22.833333333333332,0.0,49.0
Existing,Bayshore,Hillsdale,6,1,30.0,30,30,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,7,1,30.0,30,30,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,8,1,30.0,30,30,60,21.333333333333332,0.0,45.0
Existing,Bayshore,Hillsdale,9,1,29.0,29,29,60,28.683333333333334,0.0,58.0
Existing,Bayshore,Hillsdale,10,1,30.0,30,30,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,11,1,30.0,30,30,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,12,1,30.0,30,30,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,13,1,30.0,30,30,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,14,1,30.0,30,30,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,15,1,33.0,33,33,60,56.166666666666664,0.0,91.0
Existing,Bayshore,Hillsdale,16,1,34.0,34,34,60,29.8,0.0,60.0
Existing,Bayshore,Hillsdale,17,1,33.0,33,33,60,29.216666666666665,0.0,58.0
Existing,Bayshore,Hillsdale,18,1,34.0,34,34,60,28.9,0.0,57.0
Existing,Bayshore,Hillsdale,19,1,32.0,32,32,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,20,1,32.0,32,32,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,21,1,32.0,32,32,60,29.5,0.0,59.0
Existing,Bayshore,Hillsdale,22,1,32.0,32,32,60,41.5,0.0,95.0
Existing,Bayshore,Hillsdale,24,1,32.0,32,32,16,7.5,0.0,15.0
Existing,Bayshore,Lawrence,5,2,71.5,71,72,60,92.0,0.0,215.0
Existing,Bayshore,Lawrence,9,1,72.0,72,72,60,28.683333333333334,0.0,58.0
Existing,Bayshore,Lawrence,10,1,73.0,73,73,60,29.5,0.0,59.0
Existing,Bayshore,Lawrence,11,1,73.0,73,73,60,29.5,0.0,59.0
Existing,Bayshore,Lawrence,12,1,73.0,73,73,60,29.5,0.0,59.0
Existing,Bayshore,Lawrence,13,1,73.0,73,73,60,29.5,0.0,59.0
Existing,Bayshore,Lawrence,14,1,73.0,73,73,60,29.5,0.0,59.0
Existing,Bayshore,Lawrence,15,1,78.0,78,78,60,107.0,0.0,152.0
Existing,Bayshore,Lawrence,17,1,69.0,69,69,60,45.65,0.0,116.0
Existing,Bayshore,Lawrence,19,1,74.0,74,74,60,29.5,0.0,59.0
Existing,Bayshore,Lawrence,20,1,74.0,74,74,60,29.5,0.0,59.0
Existing,Bayshore,Lawrence,21,1,74.0,74,74,60,29.5,0.0,59.0
Existing,Bayshore,Lawrence,22,1,74.0,74,74,60,41.5,0.0,95.0
Existing,Bayshore,Lawrence,24,1,74.0,74,74,16,7.5,0.0,15.0
Existing,Bayshore,Menlo Park,5,2,44.5,43,46,60,92.0,0.0,215.0
Existing,Bayshore,Menlo Park,9,1,46.0,46,46,60,28.683333333333334,0.0,58.0
Existing,Bayshore,Menlo Park,10,1,47.0,47,47,60,29.5,0.0,59.0
Existing,Bayshore,Menlo Park,11,1,47.0,47,47,60,29.5,0.0,59.0
Existing,Bayshore,Menlo Park,12,1,47.0,47,47,60,29.5,0.0,59.0
Existing,Bayshore,Menlo Park,13,1,47.0,47,47,60,29.5,0.0,59.0
Existing,Bayshore,Menlo Park,14,1,47.0,47,47,60,29.5,0.0,59.0
Existing,Bayshore,Menlo Park,15,1,50.0,50,50,60,56.166666666666664,0.0,91.0
Existing,Bayshore,Menlo Park,16,1,53.0,53,53,60,29.8,0.0,60.0
Existing,Bayshore,Menlo Park,17,1,52.0,52,52,60,29.216666666666665,0.0,58.0
Existing,Bayshore,Menlo Park,18,1,53.0,53,53,60,28.9,0.0,57.0
