km,station,train_id,time,hr,min,scenario
78,SAN JOSE,IC (HSR) 701_single_1,348,5,48,Baseline SB
126,GILROY (HSR) $,IC (HSR) 701_single_1,373,6,13,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 801_single_2,310,5,10,Baseline SB
24,MILLBRAE,HSR 801_single_2,330,5,30,Baseline SB
78,SAN JOSE,HSR 801_single_2,365,6,5,Baseline SB
126,GILROY (HSR) $,HSR 801_single_2,391,6,31,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) nan_multi_1,313,5,13,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) nan_multi_1,318,5,18,Baseline SB
11,BAYSHORE,REG (C-EXP) nan_multi_1,329,5,29,Baseline SB
24,MILLBRAE,REG (C-EXP) nan_multi_1,338,5,38,Baseline SB
27,BROADWAY,REG (C-EXP) nan_multi_1,341,5,41,Baseline SB
33,HAYWARD PARK,REG (C-EXP) nan_multi_1,345,5,45,Baseline SB
35,HILLSDALE,REG (C-EXP) nan_multi_1,348,5,48,Baseline SB
40,SAN CARLOS,REG (C-EXP) nan_multi_1,352,5,52,Baseline SB
43,REDWOOD CITY,REG (C-EXP) nan_multi_1,356,5,56,Baseline SB
51,PALO ALTO,REG (C-EXP) nan_multi_1,361,6,1,Baseline SB
57,SAN ANTONIO,REG (C-EXP) nan_multi_1,365,6,5,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) nan_multi_1,369,6,9,Baseline SB
65,SUNNYVALE,REG (C-EXP) nan_multi_1,373,6,13,Baseline SB
68,LAWRENCE,REG (C-EXP) nan_multi_1,376,6,16,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 901_single_3,316,5,16,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 901_single_3,321,5,21,Baseline SB
78,SAN JOSE,HSR 901_single_3,372,6,12,Baseline SB
126,GILROY (HSR) $,HSR 901_single_3,397,6,37,Baseline SB
78,SAN JOSE,IC (HSR) 751_single_4,384,6,24,Baseline SB
126,GILROY (HSR) $,IC (HSR) 751_single_4,409,6,49,Baseline SB
78,SAN JOSE,REG (C-EXP) nan_multi_1,386,6,26,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) nan_multi_1,389,6,29,Baseline SB
