scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,6,3,8.666666666666666,8,9,60,10.5,0.0,25.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,7,4,8.5,8,9,60,9.7,0.0,23.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,8,4,8.5,8,9,60,9.7,0.0,23.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,9,4,8.5,8,9,60,9.7,0.0,23.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,10,4,8.5,8,9,60,9.7,0.0,23.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,11,3,8.333333333333334,8,9,60,23.3,0.0,53.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,12,2,8.5,8,9,60,24.1,0.0,53.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,13,2,8.5,8,9,60,24.1,0.0,53.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,14,2,8.5,8,9,60,24.1,0.0,53.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,15,2,8.5,8,9,60,24.1,0.0,53.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,16,3,8.666666666666666,8,9,60,10.5,0.0,25.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,17,4,8.5,8,9,60,9.7,0.0,23.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,18,4,8.5,8,9,60,9.7,0.0,23.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,19,4,8.5,8,9,60,9.7,0.0,23.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,20,4,8.5,8,9,60,9.7,0.0,23.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,21,3,8.333333333333334,8,9,60,23.3,0.0,53.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,22,2,8.5,8,9,60,24.1,0.0,53.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,23,2,8.5,8,9,60,24.1,0.0,53.0
Baseline NB,22nd STREET,SALESFORCE TRANSIT CENTER (STC) $,24,2,8.5,8,9,32,10.625,0.0,25.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,6,3,4.666666666666667,4,5,60,10.5,0.0,25.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,7,4,4.5,4,5,60,9.7,0.0,23.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,8,4,4.5,4,5,60,9.7,0.0,23.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,9,4,4.5,4,5,60,9.7,0.0,23.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,10,4,4.5,4,5,60,9.7,0.0,23.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,11,3,4.333333333333333,4,5,60,23.3,0.0,53.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,12,2,4.5,4,5,60,24.1,0.0,53.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,13,2,4.5,4,5,60,24.1,0.0,53.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,14,2,4.5,4,5,60,24.1,0.0,53.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,15,2,4.5,4,5,60,24.1,0.0,53.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,16,3,4.666666666666667,4,5,60,10.5,0.0,25.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,17,4,4.5,4,5,60,9.7,0.0,23.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,18,4,4.5,4,5,60,9.7,0.0,23.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,19,4,4.5,4,5,60,9.7,0.0,23.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,20,4,4.5,4,5,60,9.7,0.0,23.0
Baseline NB,22nd STREET,TOWNSEND / 4TH AND KING $,21,3,4.333333333333333,4,5,60,23.3,0.0,53.0
