nasty_station,pretty_station,lat,lon
22nd STREET,22nd St,37.757576360740146,-122.39241209707016
ATHERTON,Atherton,37.46447556254199,-122.19767440578178
BAYSHORE,Bayshore,37.707716194010786,-122.40181692100869
BELMONT,Belmont,37.52120335901958,-122.27624353516849
BLOSSOM HILL (HSR) $,Blossom Hill,37.252451211010396,-121.79772696072882
BROADWAY,Broadway,37.58728824070041,-122.36206316363042
BURLINGAME,Burlingame,37.57978423959835,-122.34406869702896
CALIFORNIA AVENUE,California Avenue,,
CAPITOL (HSR) $,Capitol,37.284001493419154,-121.84184124217718
GILROY (HSR) $,Gilroy,37.004510163602646,-121.56675298501878
HAYWARD PARK,Hayward Park,37.552944587727595,-122.30942618742424
HILLSDALE,Hillsdale,37.54157217114981,-122.30068921820495
LAWRENCE,Lawrence,37.37054208586365,-121.99678611573393
MENLO PARK,Menlo Park,37.45481747441266,-122.18234505381756
MILLBRAE,Millbrae,37.60005813774365,-122.38716357110485
MORGAN HILL (HSR) $,Morgan Hill,37.12973319634205,-121.650645664784
MOUNTAIN VIEW,Mountain View,37.39445754646227,-122.07593286878692
PALO ALTO,Palo Alto,37.44319218110702,-122.1644123503638
REDWOOD CITY,Redwood City,37.48575969310709,-122.23136195740514
SAN ANTONIO,San Antonio,37.407509282199506,-122.10751724793137
SAN BRUNO,San Bruno,37.630742889729746,-122.41180196248293
SAN CARLOS,San Carlos,37.508126194163864,-122.26029797578131
SAN JOSE,San Jose Diridon,37.32973433784033,-121.90337965869688
SAN MATEO,San Mateo,37.5681603459612,-122.32391967532075
SANTA CLARA,Santa Clara,37.353207282614996,-121.93549376712492
SOUTH SAN FRANCISCO ,South San Francisco,37.65434311314393,-122.40632367452082
SUNNYVALE,Sunnyvale,37.37884425148521,-122.03140710781794
TAMIEN (HSR) $,Tamien,37.312743266828114,-121.88475697613043
TOWNSEND / 4TH AND KING $,4th and King,37.77673761681249,-122.39494716886722
SALESFORCE TRANSIT CENTER (STC) $,Transbay,37.789051867125714,-122.39702424974188
SAN MARTIN,San Martin,37.08595316953493,-121.61044251655309
COLLEGE PARK,College Park,37.34287482384451,-121.91566711874347
