,ZNAME,lat,lon
0,4th and King,37.776737616812504,-122.39494716886723
1,22nd St,37.75757636074015,-122.39241209707016
2,Bayshore,37.70771619401079,-122.40181692100869
3,South San Francisco,37.65434311314393,-122.40632367452082
4,San Bruno,37.630742889729746,-122.41180196248294
5,Broadway,37.587288240700424,-122.36206316363044
6,Burlingame,37.57978423959834,-122.34406869702897
7,San Mateo,37.568160345961196,-122.32391967532077
8,Hayward Park,37.55294458772759,-122.30942618742425
9,Hillsdale,37.54157217114981,-122.30068921820497
10,Belmont,37.52120335901958,-122.2762435351685
11,San Carlos,37.50812619416386,-122.26029797578133
12,Redwood City,37.485759693107084,-122.23136195740517
13,Atherton,37.464475562541985,-122.19767440578178
14,Menlo Park,37.454817474412664,-122.18234505381757
15,Palo Alto,37.44319218110702,-122.16441235036382
16,California Ave,37.42892492032412,-122.14130909428673
17,Mountain View,37.39445754646227,-122.07593286878692
18,Sunnyvale,37.378844251485205,-122.03140710781794
19,Lawrence,37.37054208586365,-121.99678611573393
20,Santa Clara,37.353207282615,-121.93549376712492
21,College Park,37.34287482384451,-121.91566711874349
22,San Jose Diridon,37.32973433784033,-121.90337965869689
23,Tamien,37.31274326682812,-121.88475697613043
24,Capitol,37.28400149341916,-121.84184124217718
25,Blossom Hill,37.252451211010396,-121.79772696072882
26,Morgan Hill,37.12973319634205,-121.65064566478401
27,San Martin,37.085953169534925,-121.6104425165531
28,Gilroy,37.004510163602646,-121.56675298501878
29,Millbrae,37.600058137743645,-122.38716357110485
30,San Antonio,37.407509282199506,-122.10751724793138
31,Transbay,37.78905186712571,-122.39702424974188
